,Combination,SUDA_Sum
72,"education_level, religious_importance, gender_identity_F",36
73,"education_level, religious_importance, gender_identity_M",30
74,"education_level, religious_importance, sexual_attraction_F",24
75,"education_level, religious_importance, sexual_attraction_M",33
76,"education_level, sex, handedness",0
77,"education_level, sex, religious_now",0
78,"education_level, sex, religious_upbringing",0
79,"education_level, sex, BMI",89
80,"education_level, sex, background_SES",2
81,"education_level, sex, gender_identity_F",18
82,"education_level, sex, gender_identity_M",6
83,"education_level, sex, sexual_attraction_F",9
84,"education_level, sex, sexual_attraction_M",9
85,"education_level, handedness, religious_now",0
86,"education_level, handedness, religious_upbringing",0
87,"education_level, handedness, BMI",80
88,"education_level, handedness, background_SES",4
89,"education_level, handedness, gender_identity_F",12
90,"education_level, handedness, gender_identity_M",8
91,"education_level, handedness, sexual_attraction_F",3
92,"education_level, handedness, sexual_attraction_M",5
93,"education_level, religious_now, religious_upbringing",0
94,"education_level, religious_now, BMI",77
95,"education_level, religious_now, background_SES",4
96,"education_level, religious_now, gender_identity_F",14
97,"education_level, religious_now, gender_identity_M",5
98,"education_level, religious_now, sexual_attraction_F",4
99,"education_level, religious_now, sexual_attraction_M",8
100,"education_level, religious_upbringing, BMI",81
101,"education_level, religious_upbringing, background_SES",3
102,"education_level, religious_upbringing, gender_identity_F",16
103,"education_level, religious_upbringing, gender_identity_M",8
104,"education_level, religious_upbringing, sexual_attraction_F",4
105,"education_level, religious_upbringing, sexual_attraction_M",4
106,"education_level, BMI, background_SES",218
107,"education_level, BMI, gender_identity_F",196
108,"education_level, BMI, gender_identity_M",175
109,"education_level, BMI, sexual_attraction_F",195
110,"education_level, BMI, sexual_attraction_M",187
111,"education_level, background_SES, gender_identity_F",44
112,"education_level, background_SES, gender_identity_M",44
113,"education_level, background_SES, sexual_attraction_F",54
114,"education_level, background_SES, sexual_attraction_M",50
115,"education_level, gender_identity_F, gender_identity_M",28
116,"education_level, gender_identity_F, sexual_attraction_F",41
117,"education_level, gender_identity_F, sexual_attraction_M",39
118,"education_level, gender_identity_M, sexual_attraction_F",45
119,"education_level, gender_identity_M, sexual_attraction_M",41
120,"education_level, sexual_attraction_F, sexual_attraction_M",20
121,"religious_importance, sex, handedness",3
122,"religious_importance, sex, religious_now",0
123,"religious_importance, sex, religious_upbringing",3
124,"religious_importance, sex, BMI",138
125,"religious_importance, sex, background_SES",21
126,"religious_importance, sex, gender_identity_F",19
127,"religious_importance, sex, gender_identity_M",15
128,"religious_importance, sex, sexual_attraction_F",22
129,"religious_importance, sex, sexual_attraction_M",29
130,"religious_importance, handedness, religious_now",0
131,"religious_importance, handedness, religious_upbringing",4
132,"religious_importance, handedness, BMI",119
133,"religious_importance, handedness, background_SES",20
134,"religious_importance, handedness, gender_identity_F",19
135,"religious_importance, handedness, gender_identity_M",21
136,"religious_importance, handedness, sexual_attraction_F",23
137,"religious_importance, handedness, sexual_attraction_M",32
138,"religious_importance, religious_now, religious_upbringing",2
139,"religious_importance, religious_now, BMI",105
140,"religious_importance, religious_now, background_SES",11
141,"religious_importance, religious_now, gender_identity_F",9
142,"religious_importance, religious_now, gender_identity_M",13
143,"religious_importance, religious_now, sexual_attraction_F",16
144,"religious_importance, religious_now, sexual_attraction_M",22
145,"religious_importance, religious_upbringing, BMI",122
146,"religious_importance, religious_upbringing, background_SES",23
147,"religious_importance, religious_upbringing, gender_identity_F",23
148,"religious_importance, religious_upbringing, gender_identity_M",27
149,"religious_importance, religious_upbringing, sexual_attraction_F",25
150,"religious_importance, religious_upbringing, sexual_attraction_M",35
151,"religious_importance, BMI, background_SES",288
152,"religious_importance, BMI, gender_identity_F",240
153,"religious_importance, BMI, gender_identity_M",245
154,"religious_importance, BMI, sexual_attraction_F",250
155,"religious_importance, BMI, sexual_attraction_M",245
156,"religious_importance, background_SES, gender_identity_F",76
157,"religious_importance, background_SES, gender_identity_M",72
158,"religious_importance, background_SES, sexual_attraction_F",89
159,"religious_importance, background_SES, sexual_attraction_M",86
160,"religious_importance, gender_identity_F, gender_identity_M",39
161,"religious_importance, gender_identity_F, sexual_attraction_F",58
162,"religious_importance, gender_identity_F, sexual_attraction_M",58
163,"religious_importance, gender_identity_M, sexual_attraction_F",64
164,"religious_importance, gender_identity_M, sexual_attraction_M",68
165,"religious_importance, sexual_attraction_F, sexual_attraction_M",44
166,"sex, handedness, religious_now",0
167,"sex, handedness, religious_upbringing",0
168,"sex, handedness, BMI",55
169,"sex, handedness, background_SES",1
170,"sex, handedness, gender_identity_F",14
171,"sex, handedness, gender_identity_M",4
172,"sex, handedness, sexual_attraction_F",3
173,"sex, handedness, sexual_attraction_M",4
174,"sex, religious_now, religious_upbringing",0
175,"sex, religious_now, BMI",62
176,"sex, religious_now, background_SES",2
177,"sex, religious_now, gender_identity_F",13
178,"sex, religious_now, gender_identity_M",5
179,"sex, religious_now, sexual_attraction_F",1
180,"sex, religious_now, sexual_attraction_M",6
181,"sex, religious_upbringing, BMI",61
182,"sex, religious_upbringing, background_SES",0
183,"sex, religious_upbringing, gender_identity_F",13
184,"sex, religious_upbringing, gender_identity_M",7
185,"sex, religious_upbringing, sexual_attraction_F",2
186,"sex, religious_upbringing, sexual_attraction_M",4
187,"sex, BMI, background_SES",157
188,"sex, BMI, gender_identity_F",125
189,"sex, BMI, gender_identity_M",126
190,"sex, BMI, sexual_attraction_F",138
191,"sex, BMI, sexual_attraction_M",124
192,"sex, background_SES, gender_identity_F",26
193,"sex, background_SES, gender_identity_M",25
194,"sex, background_SES, sexual_attraction_F",38
195,"sex, background_SES, sexual_attraction_M",31
196,"sex, gender_identity_F, gender_identity_M",25
197,"sex, gender_identity_F, sexual_attraction_F",33
198,"sex, gender_identity_F, sexual_attraction_M",29
199,"sex, gender_identity_M, sexual_attraction_F",29
200,"sex, gender_identity_M, sexual_attraction_M",32
201,"sex, sexual_attraction_F, sexual_attraction_M",19
202,"handedness, religious_now, religious_upbringing",0
203,"handedness, religious_now, BMI",54
204,"handedness, religious_now, background_SES",3
205,"handedness, religious_now, gender_identity_F",8
206,"handedness, religious_now, gender_identity_M",7
207,"handedness, religious_now, sexual_attraction_F",3
208,"handedness, religious_now, sexual_attraction_M",2
209,"handedness, religious_upbringing, BMI",60
210,"handedness, religious_upbringing, background_SES",0
211,"handedness, religious_upbringing, gender_identity_F",9
212,"handedness, religious_upbringing, gender_identity_M",4
213,"handedness, religious_upbringing, sexual_attraction_F",2
214,"handedness, religious_upbringing, sexual_attraction_M",5
215,"handedness, BMI, background_SES",136
216,"handedness, BMI, gender_identity_F",135
217,"handedness, BMI, gender_identity_M",134
218,"handedness, BMI, sexual_attraction_F",135
219,"handedness, BMI, sexual_attraction_M",122
220,"handedness, background_SES, gender_identity_F",31
221,"handedness, background_SES, gender_identity_M",26
222,"handedness, background_SES, sexual_attraction_F",34
223,"handedness, background_SES, sexual_attraction_M",20
224,"handedness, gender_identity_F, gender_identity_M",24
225,"handedness, gender_identity_F, sexual_attraction_F",31
226,"handedness, gender_identity_F, sexual_attraction_M",28
227,"handedness, gender_identity_M, sexual_attraction_F",34
228,"handedness, gender_identity_M, sexual_attraction_M",33
229,"handedness, sexual_attraction_F, sexual_attraction_M",13
230,"religious_now, religious_upbringing, BMI",62
231,"religious_now, religious_upbringing, background_SES",2
232,"religious_now, religious_upbringing, gender_identity_F",4
233,"religious_now, religious_upbringing, gender_identity_M",6
234,"religious_now, religious_upbringing, sexual_attraction_F",2
235,"religious_now, religious_upbringing, sexual_attraction_M",3
236,"religious_now, BMI, background_SES",166
237,"religious_now, BMI, gender_identity_F",136
238,"religious_now, BMI, gender_identity_M",146
239,"religious_now, BMI, sexual_attraction_F",147
240,"religious_now, BMI, sexual_attraction_M",137
241,"religious_now, background_SES, gender_identity_F",31
242,"religious_now, background_SES, gender_identity_M",28
243,"religious_now, background_SES, sexual_attraction_F",31
244,"religious_now, background_SES, sexual_attraction_M",24
245,"religious_now, gender_identity_F, gender_identity_M",20
246,"religious_now, gender_identity_F, sexual_attraction_F",30
247,"religious_now, gender_identity_F, sexual_attraction_M",35
248,"religious_now, gender_identity_M, sexual_attraction_F",37
249,"religious_now, gender_identity_M, sexual_attraction_M",44
250,"religious_now, sexual_attraction_F, sexual_attraction_M",11
251,"religious_upbringing, BMI, background_SES",153
252,"religious_upbringing, BMI, gender_identity_F",144
253,"religious_upbringing, BMI, gender_identity_M",141
254,"religious_upbringing, BMI, sexual_attraction_F",148
255,"religious_upbringing, BMI, sexual_attraction_M",141
256,"religious_upbringing, background_SES, gender_identity_F",31
257,"religious_upbringing, background_SES, gender_identity_M",29
258,"religious_upbringing, background_SES, sexual_attraction_F",42
259,"religious_upbringing, background_SES, sexual_attraction_M",40
260,"religious_upbringing, gender_identity_F, gender_identity_M",28
261,"religious_upbringing, gender_identity_F, sexual_attraction_F",29
262,"religious_upbringing, gender_identity_F, sexual_attraction_M",29
263,"religious_upbringing, gender_identity_M, sexual_attraction_F",33
264,"religious_upbringing, gender_identity_M, sexual_attraction_M",35
265,"religious_upbringing, sexual_attraction_F, sexual_attraction_M",19
266,"BMI, background_SES, gender_identity_F",331
267,"BMI, background_SES, gender_identity_M",325
268,"BMI, background_SES, sexual_attraction_F",338
269,"BMI, background_SES, sexual_attraction_M",336
270,"BMI, gender_identity_F, gender_identity_M",179
271,"BMI, gender_identity_F, sexual_attraction_F",226
272,"BMI, gender_identity_F, sexual_attraction_M",213
273,"BMI, gender_identity_M, sexual_attraction_F",214
274,"BMI, gender_identity_M, sexual_attraction_M",204
275,"BMI, sexual_attraction_F, sexual_attraction_M",159
276,"background_SES, gender_identity_F, gender_identity_M",61
277,"background_SES, gender_identity_F, sexual_attraction_F",89
278,"background_SES, gender_identity_F, sexual_attraction_M",81
279,"background_SES, gender_identity_M, sexual_attraction_F",92
280,"background_SES, gender_identity_M, sexual_attraction_M",80
281,"background_SES, sexual_attraction_F, sexual_attraction_M",65
282,"gender_identity_F, gender_identity_M, sexual_attraction_F",66
283,"gender_identity_F, gender_identity_M, sexual_attraction_M",60
284,"gender_identity_F, sexual_attraction_F, sexual_attraction_M",60
285,"gender_identity_M, sexual_attraction_F, sexual_attraction_M",61
286,"age, education_level, religious_importance, sex",135
287,"age, education_level, religious_importance, handedness",125
288,"age, education_level, religious_importance, religious_now",81
289,"age, education_level, religious_importance, religious_upbringing",120
290,"age, education_level, religious_importance, BMI",971
291,"age, education_level, religious_importance, background_SES",404
292,"age, education_level, religious_importance, gender_identity_F",311
293,"age, education_level, religious_importance, gender_identity_M",324
294,"age, education_level, religious_importance, sexual_attraction_F",305
295,"age, education_level, religious_importance, sexual_attraction_M",327
296,"age, education_level, sex, handedness",34
297,"age, education_level, sex, religious_now",26
298,"age, education_level, sex, religious_upbringing",24
299,"age, education_level, sex, BMI",665
300,"age, education_level, sex, background_SES",132
301,"age, education_level, sex, gender_identity_F",132
302,"age, education_level, sex, gender_identity_M",132
303,"age, education_level, sex, sexual_attraction_F",130
304,"age, education_level, sex, sexual_attraction_M",145
305,"age, education_level, handedness, religious_now",38
306,"age, education_level, handedness, religious_upbringing",33
307,"age, education_level, handedness, BMI",604
308,"age, education_level, handedness, background_SES",155
309,"age, education_level, handedness, gender_identity_F",154
310,"age, education_level, handedness, gender_identity_M",160
311,"age, education_level, handedness, sexual_attraction_F",129
312,"age, education_level, handedness, sexual_attraction_M",139
313,"age, education_level, religious_now, religious_upbringing",33
314,"age, education_level, religious_now, BMI",657
315,"age, education_level, religious_now, background_SES",150
316,"age, education_level, religious_now, gender_identity_F",154
317,"age, education_level, religious_now, gender_identity_M",156
318,"age, education_level, religious_now, sexual_attraction_F",127
319,"age, education_level, religious_now, sexual_attraction_M",152
320,"age, education_level, religious_upbringing, BMI",664
321,"age, education_level, religious_upbringing, background_SES",137
322,"age, education_level, religious_upbringing, gender_identity_F",154
323,"age, education_level, religious_upbringing, gender_identity_M",151
324,"age, education_level, religious_upbringing, sexual_attraction_F",144
325,"age, education_level, religious_upbringing, sexual_attraction_M",153
326,"age, education_level, BMI, background_SES",1368
327,"age, education_level, BMI, gender_identity_F",1129
328,"age, education_level, BMI, gender_identity_M",1104
329,"age, education_level, BMI, sexual_attraction_F",1105
330,"age, education_level, BMI, sexual_attraction_M",1086
331,"age, education_level, background_SES, gender_identity_F",432
332,"age, education_level, background_SES, gender_identity_M",438
333,"age, education_level, background_SES, sexual_attraction_F",455
334,"age, education_level, background_SES, sexual_attraction_M",458
335,"age, education_level, gender_identity_F, gender_identity_M",260
336,"age, education_level, gender_identity_F, sexual_attraction_F",308
337,"age, education_level, gender_identity_F, sexual_attraction_M",321
338,"age, education_level, gender_identity_M, sexual_attraction_F",305
339,"age, education_level, gender_identity_M, sexual_attraction_M",321
340,"age, education_level, sexual_attraction_F, sexual_attraction_M",224
341,"age, religious_importance, sex, handedness",78
342,"age, religious_importance, sex, religious_now",45
343,"age, religious_importance, sex, religious_upbringing",75
344,"age, religious_importance, sex, BMI",812
345,"age, religious_importance, sex, background_SES",321
346,"age, religious_importance, sex, gender_identity_F",209
347,"age, religious_importance, sex, gender_identity_M",234
348,"age, religious_importance, sex, sexual_attraction_F",226
349,"age, religious_importance, sex, sexual_attraction_M",251
350,"age, religious_importance, handedness, religious_now",49
351,"age, religious_importance, handedness, religious_upbringing",79
352,"age, religious_importance, handedness, BMI",746
353,"age, religious_importance, handedness, background_SES",314
354,"age, religious_importance, handedness, gender_identity_F",215
355,"age, religious_importance, handedness, gender_identity_M",239
356,"age, religious_importance, handedness, sexual_attraction_F",214
357,"age, religious_importance, handedness, sexual_attraction_M",238
358,"age, religious_importance, religious_now, religious_upbringing",47
359,"age, religious_importance, religious_now, BMI",709
360,"age, religious_importance, religious_now, background_SES",247
361,"age, religious_importance, religious_now, gender_identity_F",167
362,"age, religious_importance, religious_now, gender_identity_M",204
363,"age, religious_importance, religious_now, sexual_attraction_F",170
364,"age, religious_importance, religious_now, sexual_attraction_M",195
365,"age, religious_importance, religious_upbringing, BMI",788
366,"age, religious_importance, religious_upbringing, background_SES",308
367,"age, religious_importance, religious_upbringing, gender_identity_F",222
368,"age, religious_importance, religious_upbringing, gender_identity_M",247
369,"age, religious_importance, religious_upbringing, sexual_attraction_F",235
370,"age, religious_importance, religious_upbringing, sexual_attraction_M",262
371,"age, religious_importance, BMI, background_SES",1543
372,"age, religious_importance, BMI, gender_identity_F",1238
373,"age, religious_importance, BMI, gender_identity_M",1261
374,"age, religious_importance, BMI, sexual_attraction_F",1239
375,"age, religious_importance, BMI, sexual_attraction_M",1237
376,"age, religious_importance, background_SES, gender_identity_F",587
377,"age, religious_importance, background_SES, gender_identity_M",596
378,"age, religious_importance, background_SES, sexual_attraction_F",627
379,"age, religious_importance, background_SES, sexual_attraction_M",631
380,"age, religious_importance, gender_identity_F, gender_identity_M",347
381,"age, religious_importance, gender_identity_F, sexual_attraction_F",395
382,"age, religious_importance, gender_identity_F, sexual_attraction_M",405
383,"age, religious_importance, gender_identity_M, sexual_attraction_F",414
384,"age, religious_importance, gender_identity_M, sexual_attraction_M",436
385,"age, religious_importance, sexual_attraction_F, sexual_attraction_M",328
386,"age, sex, handedness, religious_now",26
387,"age, sex, handedness, religious_upbringing",22
388,"age, sex, handedness, BMI",451
389,"age, sex, handedness, background_SES",102
390,"age, sex, handedness, gender_identity_F",104
391,"age, sex, handedness, gender_identity_M",106
392,"age, sex, handedness, sexual_attraction_F",83
393,"age, sex, handedness, sexual_attraction_M",100
394,"age, sex, religious_now, religious_upbringing",21
395,"age, sex, religious_now, BMI",507
396,"age, sex, religious_now, background_SES",86
397,"age, sex, religious_now, gender_identity_F",103
398,"age, sex, religious_now, gender_identity_M",112
399,"age, sex, religious_now, sexual_attraction_F",83
400,"age, sex, religious_now, sexual_attraction_M",113
401,"age, sex, religious_upbringing, BMI",507
402,"age, sex, religious_upbringing, background_SES",67
403,"age, sex, religious_upbringing, gender_identity_F",94
404,"age, sex, religious_upbringing, gender_identity_M",103
405,"age, sex, religious_upbringing, sexual_attraction_F",97
406,"age, sex, religious_upbringing, sexual_attraction_M",119
407,"age, sex, BMI, background_SES",1190
408,"age, sex, BMI, gender_identity_F",847
409,"age, sex, BMI, gender_identity_M",850
410,"age, sex, BMI, sexual_attraction_F",864
411,"age, sex, BMI, sexual_attraction_M",847
412,"age, sex, background_SES, gender_identity_F",265
413,"age, sex, background_SES, gender_identity_M",273
414,"age, sex, background_SES, sexual_attraction_F",326
415,"age, sex, background_SES, sexual_attraction_M",317
416,"age, sex, gender_identity_F, gender_identity_M",191
417,"age, sex, gender_identity_F, sexual_attraction_F",222
418,"age, sex, gender_identity_F, sexual_attraction_M",237
419,"age, sex, gender_identity_M, sexual_attraction_F",219
420,"age, sex, gender_identity_M, sexual_attraction_M",249
421,"age, sex, sexual_attraction_F, sexual_attraction_M",175
422,"age, handedness, religious_now, religious_upbringing",27
423,"age, handedness, religious_now, BMI",448
424,"age, handedness, religious_now, background_SES",101
425,"age, handedness, religious_now, gender_identity_F",117
426,"age, handedness, religious_now, gender_identity_M",126
427,"age, handedness, religious_now, sexual_attraction_F",86
428,"age, handedness, religious_now, sexual_attraction_M",104
429,"age, handedness, religious_upbringing, BMI",446
430,"age, handedness, religious_upbringing, background_SES",92
431,"age, handedness, religious_upbringing, gender_identity_F",110
432,"age, handedness, religious_upbringing, gender_identity_M",114
433,"age, handedness, religious_upbringing, sexual_attraction_F",98
434,"age, handedness, religious_upbringing, sexual_attraction_M",115
435,"age, handedness, BMI, background_SES",1087
436,"age, handedness, BMI, gender_identity_F",848
437,"age, handedness, BMI, gender_identity_M",845
438,"age, handedness, BMI, sexual_attraction_F",826
439,"age, handedness, BMI, sexual_attraction_M",808
440,"age, handedness, background_SES, gender_identity_F",323
441,"age, handedness, background_SES, gender_identity_M",328
442,"age, handedness, background_SES, sexual_attraction_F",343
443,"age, handedness, background_SES, sexual_attraction_M",320
444,"age, handedness, gender_identity_F, gender_identity_M",209
445,"age, handedness, gender_identity_F, sexual_attraction_F",233
446,"age, handedness, gender_identity_F, sexual_attraction_M",247
447,"age, handedness, gender_identity_M, sexual_attraction_F",242
448,"age, handedness, gender_identity_M, sexual_attraction_M",263
449,"age, handedness, sexual_attraction_F, sexual_attraction_M",150
450,"age, religious_now, religious_upbringing, BMI",508
451,"age, religious_now, religious_upbringing, background_SES",93
452,"age, religious_now, religious_upbringing, gender_identity_F",113
453,"age, religious_now, religious_upbringing, gender_identity_M",127
454,"age, religious_now, religious_upbringing, sexual_attraction_F",99
455,"age, religious_now, religious_upbringing, sexual_attraction_M",126
456,"age, religious_now, BMI, background_SES",1164
457,"age, religious_now, BMI, gender_identity_F",908
458,"age, religious_now, BMI, gender_identity_M",926
459,"age, religious_now, BMI, sexual_attraction_F",891
460,"age, religious_now, BMI, sexual_attraction_M",887
461,"age, religious_now, background_SES, gender_identity_F",341
462,"age, religious_now, background_SES, gender_identity_M",342
463,"age, religious_now, background_SES, sexual_attraction_F",353
464,"age, religious_now, background_SES, sexual_attraction_M",351
465,"age, religious_now, gender_identity_F, gender_identity_M",213
466,"age, religious_now, gender_identity_F, sexual_attraction_F",242
467,"age, religious_now, gender_identity_F, sexual_attraction_M",262
468,"age, religious_now, gender_identity_M, sexual_attraction_F",249
469,"age, religious_now, gender_identity_M, sexual_attraction_M",283
470,"age, religious_now, sexual_attraction_F, sexual_attraction_M",157
471,"age, religious_upbringing, BMI, background_SES",1187
472,"age, religious_upbringing, BMI, gender_identity_F",937
473,"age, religious_upbringing, BMI, gender_identity_M",928
474,"age, religious_upbringing, BMI, sexual_attraction_F",933
475,"age, religious_upbringing, BMI, sexual_attraction_M",924
476,"age, religious_upbringing, background_SES, gender_identity_F",332
477,"age, religious_upbringing, background_SES, gender_identity_M",339
478,"age, religious_upbringing, background_SES, sexual_attraction_F",374
479,"age, religious_upbringing, background_SES, sexual_attraction_M",371
480,"age, religious_upbringing, gender_identity_F, gender_identity_M",215
481,"age, religious_upbringing, gender_identity_F, sexual_attraction_F",260
482,"age, religious_upbringing, gender_identity_F, sexual_attraction_M",274
483,"age, religious_upbringing, gender_identity_M, sexual_attraction_F",257
484,"age, religious_upbringing, gender_identity_M, sexual_attraction_M",287
485,"age, religious_upbringing, sexual_attraction_F, sexual_attraction_M",196
486,"age, BMI, background_SES, gender_identity_F",1748
487,"age, BMI, background_SES, gender_identity_M",1749
488,"age, BMI, background_SES, sexual_attraction_F",1765
489,"age, BMI, background_SES, sexual_attraction_M",1753
490,"age, BMI, gender_identity_F, gender_identity_M",1113
491,"age, BMI, gender_identity_F, sexual_attraction_F",1188
492,"age, BMI, gender_identity_F, sexual_attraction_M",1176
493,"age, BMI, gender_identity_M, sexual_attraction_F",1183
494,"age, BMI, gender_identity_M, sexual_attraction_M",1177
495,"age, BMI, sexual_attraction_F, sexual_attraction_M",1024
496,"age, background_SES, gender_identity_F, gender_identity_M",463
497,"age, background_SES, gender_identity_F, sexual_attraction_F",568
498,"age, background_SES, gender_identity_F, sexual_attraction_M",559
499,"age, background_SES, gender_identity_M, sexual_attraction_F",559
500,"age, background_SES, gender_identity_M, sexual_attraction_M",560
501,"age, background_SES, sexual_attraction_F, sexual_attraction_M",466
502,"age, gender_identity_F, gender_identity_M, sexual_attraction_F",387
503,"age, gender_identity_F, gender_identity_M, sexual_attraction_M",396
504,"age, gender_identity_F, sexual_attraction_F, sexual_attraction_M",362
505,"age, gender_identity_M, sexual_attraction_F, sexual_attraction_M",367
506,"education_level, religious_importance, sex, handedness",21
507,"education_level, religious_importance, sex, religious_now",4
508,"education_level, religious_importance, sex, religious_upbringing",21
509,"education_level, religious_importance, sex, BMI",543
510,"education_level, religious_importance, sex, background_SES",141
511,"education_level, religious_importance, sex, gender_identity_F",113
512,"education_level, religious_importance, sex, gender_identity_M",91
513,"education_level, religious_importance, sex, sexual_attraction_F",90
514,"education_level, religious_importance, sex, sexual_attraction_M",111
515,"education_level, religious_importance, handedness, religious_now",10
516,"education_level, religious_importance, handedness, religious_upbringing",24
517,"education_level, religious_importance, handedness, BMI",483
518,"education_level, religious_importance, handedness, background_SES",114
519,"education_level, religious_importance, handedness, gender_identity_F",116
520,"education_level, religious_importance, handedness, gender_identity_M",102
521,"education_level, religious_importance, handedness, sexual_attraction_F",85
522,"education_level, religious_importance, handedness, sexual_attraction_M",112
523,"education_level, religious_importance, religious_now, religious_upbringing",9
524,"education_level, religious_importance, religious_now, BMI",426
525,"education_level, religious_importance, religious_now, background_SES",78
526,"education_level, religious_importance, religious_now, gender_identity_F",87
527,"education_level, religious_importance, religious_now, gender_identity_M",72
528,"education_level, religious_importance, religious_now, sexual_attraction_F",60
529,"education_level, religious_importance, religious_now, sexual_attraction_M",84
530,"education_level, religious_importance, religious_upbringing, BMI",495
531,"education_level, religious_importance, religious_upbringing, background_SES",116
532,"education_level, religious_importance, religious_upbringing, gender_identity_F",131
533,"education_level, religious_importance, religious_upbringing, gender_identity_M",118
534,"education_level, religious_importance, religious_upbringing, sexual_attraction_F",95
535,"education_level, religious_importance, religious_upbringing, sexual_attraction_M",120
536,"education_level, religious_importance, BMI, background_SES",991
537,"education_level, religious_importance, BMI, gender_identity_F",869
538,"education_level, religious_importance, BMI, gender_identity_M",831
539,"education_level, religious_importance, BMI, sexual_attraction_F",857
540,"education_level, religious_importance, BMI, sexual_attraction_M",859
541,"education_level, religious_importance, background_SES, gender_identity_F",345
542,"education_level, religious_importance, background_SES, gender_identity_M",329
543,"education_level, religious_importance, background_SES, sexual_attraction_F",367
544,"education_level, religious_importance, background_SES, sexual_attraction_M",364
545,"education_level, religious_importance, gender_identity_F, gender_identity_M",183
546,"education_level, religious_importance, gender_identity_F, sexual_attraction_F",223
547,"education_level, religious_importance, gender_identity_F, sexual_attraction_M",229
548,"education_level, religious_importance, gender_identity_M, sexual_attraction_F",230
549,"education_level, religious_importance, gender_identity_M, sexual_attraction_M",237
550,"education_level, religious_importance, sexual_attraction_F, sexual_attraction_M",160
551,"education_level, sex, handedness, religious_now",1
552,"education_level, sex, handedness, religious_upbringing",1
553,"education_level, sex, handedness, BMI",304
554,"education_level, sex, handedness, background_SES",26
555,"education_level, sex, handedness, gender_identity_F",56
556,"education_level, sex, handedness, gender_identity_M",31
557,"education_level, sex, handedness, sexual_attraction_F",29
558,"education_level, sex, handedness, sexual_attraction_M",29
559,"education_level, sex, religious_now, religious_upbringing",0
560,"education_level, sex, religious_now, BMI",303
561,"education_level, sex, religious_now, background_SES",19
562,"education_level, sex, religious_now, gender_identity_F",57
563,"education_level, sex, religious_now, gender_identity_M",27
564,"education_level, sex, religious_now, sexual_attraction_F",28
565,"education_level, sex, religious_now, sexual_attraction_M",41
566,"education_level, sex, religious_upbringing, BMI",305
567,"education_level, sex, religious_upbringing, background_SES",16
568,"education_level, sex, religious_upbringing, gender_identity_F",61
569,"education_level, sex, religious_upbringing, gender_identity_M",32
570,"education_level, sex, religious_upbringing, sexual_attraction_F",31
