Combination,Unique Rows,Unique Rows Excluding Columns,Score
"MARITAL_STATUS, LGBT_IDENTITY, GENDER",15,888,7.266666666666667
"MARITAL_STATUS, LGBT_IDENTITY, WORK_NIH_CAMPUS",20,862,6.75
"MARITAL_STATUS, ETHNICITY_1, GENDER",9,923,8.222222222222221
"MARITAL_STATUS, ETHNICITY_1, WORK_NIH_CAMPUS",12,909,7.333333333333333
"MARITAL_STATUS, GENDER, WORK_NIH_CAMPUS",8,856,17.625
"EDUCATION, EMPLOYMENT, LGBT_IDENTITY",28,875,4.357142857142857
"EDUCATION, EMPLOYMENT, ETHNICITY_1",22,912,3.8636363636363638
"EDUCATION, EMPLOYMENT, GENDER",17,856,8.294117647058824
"EDUCATION, EMPLOYMENT, WORK_NIH_CAMPUS",9,850,16.333333333333332
"EDUCATION, LGBT_IDENTITY, ETHNICITY_1",17,920,4.529411764705882
"EDUCATION, LGBT_IDENTITY, GENDER",13,868,9.923076923076923
"EDUCATION, LGBT_IDENTITY, WORK_NIH_CAMPUS",16,847,9.375
"EDUCATION, ETHNICITY_1, GENDER",12,908,7.416666666666667
"EDUCATION, ETHNICITY_1, WORK_NIH_CAMPUS",7,896,14.428571428571429
"EDUCATION, GENDER, WORK_NIH_CAMPUS",9,836,17.88888888888889
"EMPLOYMENT, LGBT_IDENTITY, ETHNICITY_1",17,924,4.294117647058823
"EMPLOYMENT, LGBT_IDENTITY, GENDER",12,879,9.833333333333334
"EMPLOYMENT, LGBT_IDENTITY, WORK_NIH_CAMPUS",11,861,12.363636363636363
"EMPLOYMENT, ETHNICITY_1, GENDER",13,923,5.6923076923076925
"EMPLOYMENT, ETHNICITY_1, WORK_NIH_CAMPUS",13,905,7.076923076923077
"EMPLOYMENT, GENDER, WORK_NIH_CAMPUS",10,851,14.6
"LGBT_IDENTITY, ETHNICITY_1, GENDER",5,923,14.8
"LGBT_IDENTITY, ETHNICITY_1, WORK_NIH_CAMPUS",13,894,7.923076923076923
"LGBT_IDENTITY, GENDER, WORK_NIH_CAMPUS",2,843,77.0
"ETHNICITY_1, GENDER, WORK_NIH_CAMPUS",5,894,20.6
"AGE, INCOME, LANGUAGE, RACE_1",535,257,1.3831775700934579
"AGE, INCOME, LANGUAGE, MARITAL_STATUS",513,263,1.4307992202729045
"AGE, INCOME, LANGUAGE, EDUCATION",537,235,1.4189944134078212
"AGE, INCOME, LANGUAGE, EMPLOYMENT",537,236,1.4171322160148976
"AGE, INCOME, LANGUAGE, LGBT_IDENTITY",491,270,1.4806517311608962
"AGE, INCOME, LANGUAGE, ETHNICITY_1",429,319,1.5804195804195804
"AGE, INCOME, LANGUAGE, GENDER",499,318,1.3607214428857715
"AGE, INCOME, LANGUAGE, WORK_NIH_CAMPUS",514,287,1.3813229571984436
"AGE, INCOME, RACE_1, MARITAL_STATUS",531,263,1.3822975517890772
"AGE, INCOME, RACE_1, EDUCATION",557,265,1.3141831238779174
"AGE, INCOME, RACE_1, EMPLOYMENT",566,264,1.295053003533569
"AGE, INCOME, RACE_1, LGBT_IDENTITY",503,299,1.3876739562624254
"AGE, INCOME, RACE_1, ETHNICITY_1",442,343,1.4796380090497738
"AGE, INCOME, RACE_1, GENDER",510,305,1.3568627450980393
"AGE, INCOME, RACE_1, WORK_NIH_CAMPUS",545,305,1.269724770642202
"AGE, INCOME, MARITAL_STATUS, EDUCATION",525,264,1.3961904761904762
"AGE, INCOME, MARITAL_STATUS, EMPLOYMENT",535,265,1.3682242990654205
"AGE, INCOME, MARITAL_STATUS, LGBT_IDENTITY",481,310,1.4282744282744282
"AGE, INCOME, MARITAL_STATUS, ETHNICITY_1",442,325,1.5203619909502262
"AGE, INCOME, MARITAL_STATUS, GENDER",496,318,1.3689516129032258
"AGE, INCOME, MARITAL_STATUS, WORK_NIH_CAMPUS",517,303,1.3423597678916828
"AGE, INCOME, EDUCATION, EMPLOYMENT",546,244,1.379120879120879
"AGE, INCOME, EDUCATION, LGBT_IDENTITY",510,273,1.419607843137255
"AGE, INCOME, EDUCATION, ETHNICITY_1",461,314,1.4815618221258136
"AGE, INCOME, EDUCATION, GENDER",524,303,1.3244274809160306
"AGE, INCOME, EDUCATION, WORK_NIH_CAMPUS",535,281,1.3383177570093459
"AGE, INCOME, EMPLOYMENT, LGBT_IDENTITY",514,284,1.38715953307393
"AGE, INCOME, EMPLOYMENT, ETHNICITY_1",458,305,1.5109170305676856
"AGE, INCOME, EMPLOYMENT, GENDER",524,302,1.3263358778625953
"AGE, INCOME, EMPLOYMENT, WORK_NIH_CAMPUS",540,273,1.3407407407407408
"AGE, INCOME, LGBT_IDENTITY, ETHNICITY_1",401,366,1.57356608478803
"AGE, INCOME, LGBT_IDENTITY, GENDER",464,344,1.4073275862068966
"AGE, INCOME, LGBT_IDENTITY, WORK_NIH_CAMPUS",483,327,1.3871635610766047
"AGE, INCOME, ETHNICITY_1, GENDER",412,375,1.5097087378640777
"AGE, INCOME, ETHNICITY_1, WORK_NIH_CAMPUS",418,369,1.5023923444976077
"AGE, INCOME, GENDER, WORK_NIH_CAMPUS",511,337,1.2915851272015655
"AGE, LANGUAGE, RACE_1, MARITAL_STATUS",357,410,1.6442577030812324
"AGE, LANGUAGE, RACE_1, EDUCATION",378,332,1.7592592592592593
"AGE, LANGUAGE, RACE_1, EMPLOYMENT",372,347,1.7473118279569892
"AGE, LANGUAGE, RACE_1, LGBT_IDENTITY",316,405,1.8734177215189873
"AGE, LANGUAGE, RACE_1, ETHNICITY_1",266,453,2.045112781954887
"AGE, LANGUAGE, RACE_1, GENDER",304,425,1.881578947368421
"AGE, LANGUAGE, RACE_1, WORK_NIH_CAMPUS",344,396,1.747093023255814
"AGE, LANGUAGE, MARITAL_STATUS, EDUCATION",363,393,1.6639118457300275
"AGE, LANGUAGE, MARITAL_STATUS, EMPLOYMENT",345,376,1.8
"AGE, LANGUAGE, MARITAL_STATUS, LGBT_IDENTITY",317,453,1.7160883280757098
"AGE, LANGUAGE, MARITAL_STATUS, ETHNICITY_1",275,490,1.8436363636363637
"AGE, LANGUAGE, MARITAL_STATUS, GENDER",310,467,1.7096774193548387
"AGE, LANGUAGE, MARITAL_STATUS, WORK_NIH_CAMPUS",322,430,1.7608695652173914
"AGE, LANGUAGE, EDUCATION, EMPLOYMENT",382,335,1.7329842931937174
"AGE, LANGUAGE, EDUCATION, LGBT_IDENTITY",350,391,1.7314285714285715
"AGE, LANGUAGE, EDUCATION, ETHNICITY_1",303,434,1.858085808580858
"AGE, LANGUAGE, EDUCATION, GENDER",334,401,1.784431137724551
"AGE, LANGUAGE, EDUCATION, WORK_NIH_CAMPUS",327,358,1.9541284403669725
"AGE, LANGUAGE, EMPLOYMENT, LGBT_IDENTITY",311,393,1.9421221864951768
"AGE, LANGUAGE, EMPLOYMENT, ETHNICITY_1",276,433,2.0434782608695654
"AGE, LANGUAGE, EMPLOYMENT, GENDER",322,397,1.8633540372670807
"AGE, LANGUAGE, EMPLOYMENT, WORK_NIH_CAMPUS",333,372,1.8768768768768769
"AGE, LANGUAGE, LGBT_IDENTITY, ETHNICITY_1",245,482,2.1020408163265305
"AGE, LANGUAGE, LGBT_IDENTITY, GENDER",298,464,1.7885906040268456
"AGE, LANGUAGE, LGBT_IDENTITY, WORK_NIH_CAMPUS",302,427,1.8874172185430464
"AGE, LANGUAGE, ETHNICITY_1, GENDER",230,500,2.1608695652173915
"AGE, LANGUAGE, ETHNICITY_1, WORK_NIH_CAMPUS",250,462,2.14
"AGE, LANGUAGE, GENDER, WORK_NIH_CAMPUS",262,441,2.122137404580153
"AGE, RACE_1, MARITAL_STATUS, EDUCATION",337,381,1.827893175074184
"AGE, RACE_1, MARITAL_STATUS, EMPLOYMENT",341,386,1.7917888563049853
"AGE, RACE_1, MARITAL_STATUS, LGBT_IDENTITY",282,443,1.9645390070921986
"AGE, RACE_1, MARITAL_STATUS, ETHNICITY_1",234,487,2.1794871794871793
"AGE, RACE_1, MARITAL_STATUS, GENDER",270,454,2.011111111111111
"AGE, RACE_1, MARITAL_STATUS, WORK_NIH_CAMPUS",285,430,1.9894736842105263
"AGE, RACE_1, EDUCATION, EMPLOYMENT",363,353,1.7741046831955922
"AGE, RACE_1, EDUCATION, LGBT_IDENTITY",315,401,1.892063492063492
"AGE, RACE_1, EDUCATION, ETHNICITY_1",265,442,2.0943396226415096
"AGE, RACE_1, EDUCATION, GENDER",312,399,1.9166666666666667
"AGE, RACE_1, EDUCATION, WORK_NIH_CAMPUS",319,395,1.8871473354231976
"AGE, RACE_1, EMPLOYMENT, LGBT_IDENTITY",294,393,2.054421768707483
"AGE, RACE_1, EMPLOYMENT, ETHNICITY_1",235,430,2.4127659574468083
"AGE, RACE_1, EMPLOYMENT, GENDER",291,405,2.0343642611683848
"AGE, RACE_1, EMPLOYMENT, WORK_NIH_CAMPUS",315,387,1.9365079365079365
"AGE, RACE_1, LGBT_IDENTITY, ETHNICITY_1",195,486,2.6205128205128205
"AGE, RACE_1, LGBT_IDENTITY, GENDER",243,451,2.246913580246914
"AGE, RACE_1, LGBT_IDENTITY, WORK_NIH_CAMPUS",268,434,2.1007462686567164
"AGE, RACE_1, ETHNICITY_1, GENDER",185,503,2.67027027027027
"AGE, RACE_1, ETHNICITY_1, WORK_NIH_CAMPUS",212,467,2.5
"AGE, RACE_1, GENDER, WORK_NIH_CAMPUS",262,436,2.1412213740458017
"AGE, MARITAL_STATUS, EDUCATION, EMPLOYMENT",344,359,1.8546511627906976
"AGE, MARITAL_STATUS, EDUCATION, LGBT_IDENTITY",315,438,1.7746031746031745
"AGE, MARITAL_STATUS, EDUCATION, ETHNICITY_1",258,470,2.0426356589147288
"AGE, MARITAL_STATUS, EDUCATION, GENDER",286,432,1.9755244755244756
"AGE, MARITAL_STATUS, EDUCATION, WORK_NIH_CAMPUS",282,402,2.1099290780141846
"AGE, MARITAL_STATUS, EMPLOYMENT, LGBT_IDENTITY",303,429,1.8745874587458746
"AGE, MARITAL_STATUS, EMPLOYMENT, ETHNICITY_1",244,459,2.2049180327868854
"AGE, MARITAL_STATUS, EMPLOYMENT, GENDER",274,437,2.0437956204379564
"AGE, MARITAL_STATUS, EMPLOYMENT, WORK_NIH_CAMPUS",296,401,2.0135135135135136
"AGE, MARITAL_STATUS, LGBT_IDENTITY, ETHNICITY_1",219,537,2.1004566210045663
"AGE, MARITAL_STATUS, LGBT_IDENTITY, GENDER",236,504,2.0889830508474576
"AGE, MARITAL_STATUS, LGBT_IDENTITY, WORK_NIH_CAMPUS",243,462,2.2016460905349793
"AGE, MARITAL_STATUS, ETHNICITY_1, GENDER",194,544,2.3350515463917527
"AGE, MARITAL_STATUS, ETHNICITY_1, WORK_NIH_CAMPUS",215,496,2.3302325581395347
"AGE, MARITAL_STATUS, GENDER, WORK_NIH_CAMPUS",217,479,2.3870967741935485
"AGE, EDUCATION, EMPLOYMENT, LGBT_IDENTITY",334,368,1.8832335329341316
"AGE, EDUCATION, EMPLOYMENT, ETHNICITY_1",278,421,2.0719424460431655
"AGE, EDUCATION, EMPLOYMENT, GENDER",312,385,1.9615384615384615
"AGE, EDUCATION, EMPLOYMENT, WORK_NIH_CAMPUS",331,358,1.9305135951661632
"AGE, EDUCATION, LGBT_IDENTITY, ETHNICITY_1",244,493,2.0655737704918034
"AGE, EDUCATION, LGBT_IDENTITY, GENDER",290,443,1.910344827586207
"AGE, EDUCATION, LGBT_IDENTITY, WORK_NIH_CAMPUS",281,424,2.03914590747331
"AGE, EDUCATION, ETHNICITY_1, GENDER",211,495,2.3791469194312795
"AGE, EDUCATION, ETHNICITY_1, WORK_NIH_CAMPUS",219,466,2.4246575342465753
"AGE, EDUCATION, GENDER, WORK_NIH_CAMPUS",242,419,2.3884297520661155
"AGE, EMPLOYMENT, LGBT_IDENTITY, ETHNICITY_1",211,470,2.4976303317535544
"AGE, EMPLOYMENT, LGBT_IDENTITY, GENDER",250,438,2.236
"AGE, EMPLOYMENT, LGBT_IDENTITY, WORK_NIH_CAMPUS",261,409,2.2528735632183907
"AGE, EMPLOYMENT, ETHNICITY_1, GENDER",197,482,2.6142131979695433
"AGE, EMPLOYMENT, ETHNICITY_1, WORK_NIH_CAMPUS",215,452,2.5348837209302326
"AGE, EMPLOYMENT, GENDER, WORK_NIH_CAMPUS",262,411,2.236641221374046
"AGE, LGBT_IDENTITY, ETHNICITY_1, GENDER",177,548,2.536723163841808
"AGE, LGBT_IDENTITY, ETHNICITY_1, WORK_NIH_CAMPUS",189,504,2.6084656084656084
"AGE, LGBT_IDENTITY, GENDER, WORK_NIH_CAMPUS",211,476,2.4691943127962084
"AGE, ETHNICITY_1, GENDER, WORK_NIH_CAMPUS",151,516,3.185430463576159
"INCOME, LANGUAGE, RACE_1, MARITAL_STATUS",175,622,2.142857142857143
"INCOME, LANGUAGE, RACE_1, EDUCATION",198,609,1.9595959595959596
"INCOME, LANGUAGE, RACE_1, EMPLOYMENT",196,603,2.010204081632653
"INCOME, LANGUAGE, RACE_1, LGBT_IDENTITY",173,648,2.0173410404624277
"INCOME, LANGUAGE, RACE_1, ETHNICITY_1",135,692,2.259259259259259
"INCOME, LANGUAGE, RACE_1, GENDER",141,640,2.5319148936170213
"INCOME, LANGUAGE, RACE_1, WORK_NIH_CAMPUS",161,629,2.2857142857142856
"INCOME, LANGUAGE, MARITAL_STATUS, EDUCATION",183,617,2.0765027322404372
"INCOME, LANGUAGE, MARITAL_STATUS, EMPLOYMENT",185,606,2.1135135135135137
"INCOME, LANGUAGE, MARITAL_STATUS, LGBT_IDENTITY",154,674,2.0974025974025974
"INCOME, LANGUAGE, MARITAL_STATUS, ETHNICITY_1",131,718,2.1297709923664123
"INCOME, LANGUAGE, MARITAL_STATUS, GENDER",148,649,2.3513513513513513
"INCOME, LANGUAGE, MARITAL_STATUS, WORK_NIH_CAMPUS",141,657,2.4113475177304964
"INCOME, LANGUAGE, EDUCATION, EMPLOYMENT",224,577,1.875
"INCOME, LANGUAGE, EDUCATION, LGBT_IDENTITY",177,656,1.926553672316384
"INCOME, LANGUAGE, EDUCATION, ETHNICITY_1",156,690,1.9679487179487178
"INCOME, LANGUAGE, EDUCATION, GENDER",163,626,2.276073619631902
"INCOME, LANGUAGE, EDUCATION, WORK_NIH_CAMPUS",166,618,2.283132530120482
"INCOME, LANGUAGE, EMPLOYMENT, LGBT_IDENTITY",178,645,1.9775280898876404
"INCOME, LANGUAGE, EMPLOYMENT, ETHNICITY_1",150,690,2.046666666666667
"INCOME, LANGUAGE, EMPLOYMENT, GENDER",165,628,2.2363636363636363
"INCOME, LANGUAGE, EMPLOYMENT, WORK_NIH_CAMPUS",165,611,2.3393939393939394
"INCOME, LANGUAGE, LGBT_IDENTITY, ETHNICITY_1",129,751,1.9069767441860466
"INCOME, LANGUAGE, LGBT_IDENTITY, GENDER",132,669,2.484848484848485
"INCOME, LANGUAGE, LGBT_IDENTITY, WORK_NIH_CAMPUS",138,668,2.3840579710144927
"INCOME, LANGUAGE, ETHNICITY_1, GENDER",108,721,2.5555555555555554
"INCOME, LANGUAGE, ETHNICITY_1, WORK_NIH_CAMPUS",124,709,2.3225806451612905
"INCOME, LANGUAGE, GENDER, WORK_NIH_CAMPUS",117,656,2.9145299145299144
"INCOME, RACE_1, MARITAL_STATUS, EDUCATION",148,598,2.695945945945946
"INCOME, RACE_1, MARITAL_STATUS, EMPLOYMENT",140,593,2.8857142857142857
"INCOME, RACE_1, MARITAL_STATUS, LGBT_IDENTITY",110,616,3.463636363636364
"INCOME, RACE_1, MARITAL_STATUS, ETHNICITY_1",85,680,3.7294117647058824
"INCOME, RACE_1, MARITAL_STATUS, GENDER",93,635,3.89247311827957
"INCOME, RACE_1, MARITAL_STATUS, WORK_NIH_CAMPUS",110,608,3.536363636363636
"INCOME, RACE_1, EDUCATION, EMPLOYMENT",184,576,2.2880434782608696
"INCOME, RACE_1, EDUCATION, LGBT_IDENTITY",134,612,2.873134328358209
"INCOME, RACE_1, EDUCATION, ETHNICITY_1",103,660,3.2718446601941746
"INCOME, RACE_1, EDUCATION, GENDER",113,606,3.4601769911504423
"INCOME, RACE_1, EDUCATION, WORK_NIH_CAMPUS",128,598,3.1171875
"INCOME, RACE_1, EMPLOYMENT, LGBT_IDENTITY",141,600,2.8156028368794326
"INCOME, RACE_1, EMPLOYMENT, ETHNICITY_1",96,659,3.5208333333333335
"INCOME, RACE_1, EMPLOYMENT, GENDER",105,609,3.6952380952380954
"INCOME, RACE_1, EMPLOYMENT, WORK_NIH_CAMPUS",127,597,3.1496062992125986
"INCOME, RACE_1, LGBT_IDENTITY, ETHNICITY_1",93,683,3.3763440860215055
"INCOME, RACE_1, LGBT_IDENTITY, GENDER",91,634,3.989010989010989
"INCOME, RACE_1, LGBT_IDENTITY, WORK_NIH_CAMPUS",104,627,3.5576923076923075
"INCOME, RACE_1, ETHNICITY_1, GENDER",62,688,4.983870967741935
"INCOME, RACE_1, ETHNICITY_1, WORK_NIH_CAMPUS",86,672,3.7790697674418605
"INCOME, RACE_1, GENDER, WORK_NIH_CAMPUS",73,619,5.178082191780822
"INCOME, MARITAL_STATUS, EDUCATION, EMPLOYMENT",159,582,2.610062893081761
"INCOME, MARITAL_STATUS, EDUCATION, LGBT_IDENTITY",129,655,2.6511627906976742
