Combination,Unique Rows,Unique Rows Excluding Columns,Score
"religious_importance, handedness, sexual_attraction_M",20,876,0.75
"religious_importance, religious_now, religious_upbringing",1,853,38.0
"religious_importance, religious_now, BMI",41,628,6.414634146341464
"religious_importance, religious_now, background_SES",5,725,33.2
"religious_importance, religious_now, gender_identity_F",4,875,4.0
"religious_importance, religious_now, gender_identity_M",6,867,4.0
"religious_importance, religious_now, sexual_attraction_F",8,875,2.0
"religious_importance, religious_now, sexual_attraction_M",11,875,1.4545454545454546
"religious_importance, religious_upbringing, BMI",55,599,5.3090909090909095
"religious_importance, religious_upbringing, background_SES",17,678,12.529411764705882
"religious_importance, religious_upbringing, gender_identity_F",17,868,1.3529411764705883
"religious_importance, religious_upbringing, gender_identity_M",19,854,1.9473684210526316
"religious_importance, religious_upbringing, sexual_attraction_F",16,864,1.6875
"religious_importance, religious_upbringing, sexual_attraction_M",22,864,1.2272727272727273
"religious_importance, BMI, background_SES",189,325,2.994708994708995
"religious_importance, BMI, gender_identity_F",139,659,1.669064748201439
"religious_importance, BMI, gender_identity_M",140,644,1.7642857142857142
"religious_importance, BMI, sexual_attraction_F",143,662,1.6013986013986015
"religious_importance, BMI, sexual_attraction_M",142,665,1.591549295774648
"religious_importance, background_SES, gender_identity_F",58,744,2.5344827586206895
"religious_importance, background_SES, gender_identity_M",54,736,2.8703703703703702
"religious_importance, background_SES, sexual_attraction_F",64,744,2.296875
"religious_importance, background_SES, sexual_attraction_M",64,750,2.203125
"religious_importance, gender_identity_F, gender_identity_M",22,874,0.7727272727272727
"religious_importance, gender_identity_F, sexual_attraction_F",35,884,0.2
"religious_importance, gender_identity_F, sexual_attraction_M",33,886,0.15151515151515152
"religious_importance, gender_identity_M, sexual_attraction_F",37,876,0.40540540540540543
"religious_importance, gender_identity_M, sexual_attraction_M",38,876,0.39473684210526316
"religious_importance, sexual_attraction_F, sexual_attraction_M",21,878,0.6190476190476191
"sex, handedness, religious_now",0,858,inf
"sex, handedness, religious_upbringing",0,829,inf
"sex, handedness, BMI",22,580,14.136363636363637
"sex, handedness, background_SES",1,673,218.0
"sex, handedness, gender_identity_F",7,856,5.0
"sex, handedness, gender_identity_M",2,846,22.5
"sex, handedness, sexual_attraction_F",2,856,17.5
"sex, handedness, sexual_attraction_M",2,856,17.5
"sex, religious_now, religious_upbringing",0,854,inf
"sex, religious_now, BMI",26,635,9.846153846153847
"sex, religious_now, background_SES",1,715,176.0
"sex, religious_now, gender_identity_F",7,875,2.2857142857142856
"sex, religious_now, gender_identity_M",3,865,8.666666666666666
"sex, religious_now, sexual_attraction_F",1,873,18.0
"sex, religious_now, sexual_attraction_M",5,873,3.6
"sex, religious_upbringing, BMI",23,568,14.043478260869565
"sex, religious_upbringing, background_SES",0,652,inf
"sex, religious_upbringing, gender_identity_F",7,854,5.285714285714286
"sex, religious_upbringing, gender_identity_M",5,840,10.2
"sex, religious_upbringing, sexual_attraction_F",2,850,20.5
"sex, religious_upbringing, sexual_attraction_M",2,850,20.5
"sex, BMI, background_SES",91,345,6.0
"sex, BMI, gender_identity_F",54,624,4.944444444444445
"sex, BMI, gender_identity_M",57,610,4.9298245614035086
"sex, BMI, sexual_attraction_F",70,628,3.757142857142857
"sex, BMI, sexual_attraction_M",62,629,4.225806451612903
"sex, background_SES, gender_identity_F",13,707,14.153846153846153
"sex, background_SES, gender_identity_M",18,697,10.777777777777779
"sex, background_SES, sexual_attraction_F",27,705,6.888888888888889
"sex, background_SES, sexual_attraction_M",25,711,7.2
"sex, gender_identity_F, gender_identity_M",12,861,2.5
"sex, gender_identity_F, sexual_attraction_F",17,871,1.1764705882352942
"sex, gender_identity_F, sexual_attraction_M",13,873,1.3846153846153846
"sex, gender_identity_M, sexual_attraction_F",15,863,1.8666666666666667
"sex, gender_identity_M, sexual_attraction_M",17,863,1.6470588235294117
"sex, sexual_attraction_F, sexual_attraction_M",14,865,1.8571428571428572
"handedness, religious_now, religious_upbringing",0,856,inf
"handedness, religious_now, BMI",21,655,11.238095238095237
"handedness, religious_now, background_SES",2,729,81.0
"handedness, religious_now, gender_identity_F",5,879,2.4
"handedness, religious_now, gender_identity_M",5,869,4.4
"handedness, religious_now, sexual_attraction_F",2,879,6.0
"handedness, religious_now, sexual_attraction_M",1,879,12.0
"handedness, religious_upbringing, BMI",25,585,12.24
"handedness, religious_upbringing, background_SES",0,657,inf
"handedness, religious_upbringing, gender_identity_F",6,852,6.5
"handedness, religious_upbringing, gender_identity_M",2,840,25.5
"handedness, religious_upbringing, sexual_attraction_F",1,852,39.0
"handedness, religious_upbringing, sexual_attraction_M",3,852,13.0
"handedness, BMI, background_SES",73,338,7.575342465753424
"handedness, BMI, gender_identity_F",70,636,3.642857142857143
"handedness, BMI, gender_identity_M",68,625,3.911764705882353
"handedness, BMI, sexual_attraction_F",69,646,3.550724637681159
"handedness, BMI, sexual_attraction_M",63,648,3.857142857142857
"handedness, background_SES, gender_identity_F",21,718,8.238095238095237
"handedness, background_SES, gender_identity_M",19,704,9.842105263157896
"handedness, background_SES, sexual_attraction_F",22,717,7.909090909090909
"handedness, background_SES, sexual_attraction_M",14,724,11.928571428571429
"handedness, gender_identity_F, gender_identity_M",14,863,2.0
"handedness, gender_identity_F, sexual_attraction_F",17,875,0.9411764705882353
"handedness, gender_identity_F, sexual_attraction_M",15,877,0.9333333333333333
"handedness, gender_identity_M, sexual_attraction_F",19,867,1.263157894736842
"handedness, gender_identity_M, sexual_attraction_M",18,867,1.3333333333333333
"handedness, sexual_attraction_F, sexual_attraction_M",7,869,3.142857142857143
"religious_now, religious_upbringing, BMI",24,638,10.541666666666666
"religious_now, religious_upbringing, background_SES",1,704,187.0
"religious_now, religious_upbringing, gender_identity_F",2,875,8.0
"religious_now, religious_upbringing, gender_identity_M",4,861,7.5
"religious_now, religious_upbringing, sexual_attraction_F",2,871,10.0
"religious_now, religious_upbringing, sexual_attraction_M",2,871,10.0
"religious_now, BMI, background_SES",99,391,5.05050505050505
"religious_now, BMI, gender_identity_F",69,691,2.898550724637681
"religious_now, BMI, gender_identity_M",77,677,2.779220779220779
"religious_now, BMI, sexual_attraction_F",79,695,2.481012658227848
"religious_now, BMI, sexual_attraction_M",76,696,2.5657894736842106
"religious_now, background_SES, gender_identity_F",21,760,6.238095238095238
"religious_now, background_SES, gender_identity_M",20,750,7.05
"religious_now, background_SES, sexual_attraction_F",19,758,7.0
"religious_now, background_SES, sexual_attraction_M",18,764,7.055555555555555
"religious_now, gender_identity_F, gender_identity_M",11,877,1.2727272727272727
"religious_now, gender_identity_F, sexual_attraction_F",18,887,0.2222222222222222
"religious_now, gender_identity_F, sexual_attraction_M",24,889,0.08333333333333333
"religious_now, gender_identity_M, sexual_attraction_F",23,879,0.5217391304347826
"religious_now, gender_identity_M, sexual_attraction_M",30,879,0.4
"religious_now, sexual_attraction_F, sexual_attraction_M",7,881,1.4285714285714286
"religious_upbringing, BMI, background_SES",85,335,6.541176470588235
"religious_upbringing, BMI, gender_identity_F",75,621,3.6
"religious_upbringing, BMI, gender_identity_M",70,609,4.0285714285714285
"religious_upbringing, BMI, sexual_attraction_F",78,626,3.3974358974358974
"religious_upbringing, BMI, sexual_attraction_M",77,618,3.5454545454545454
"religious_upbringing, background_SES, gender_identity_F",22,694,8.954545454545455
"religious_upbringing, background_SES, gender_identity_M",22,680,9.590909090909092
"religious_upbringing, background_SES, sexual_attraction_F",31,695,6.32258064516129
"religious_upbringing, background_SES, sexual_attraction_M",34,699,5.647058823529412
"religious_upbringing, gender_identity_F, gender_identity_M",19,857,1.7894736842105263
"religious_upbringing, gender_identity_F, sexual_attraction_F",17,869,1.2941176470588236
"religious_upbringing, gender_identity_F, sexual_attraction_M",17,871,1.1764705882352942
"religious_upbringing, gender_identity_M, sexual_attraction_F",19,857,1.7894736842105263
"religious_upbringing, gender_identity_M, sexual_attraction_M",20,857,1.7
"religious_upbringing, sexual_attraction_F, sexual_attraction_M",14,852,2.7857142857142856
"BMI, background_SES, gender_identity_F",227,352,2.3744493392070485
"BMI, background_SES, gender_identity_M",221,363,2.3891402714932126
"BMI, background_SES, sexual_attraction_F",229,362,2.3100436681222707
"BMI, background_SES, sexual_attraction_M",240,374,2.154166666666667
"BMI, gender_identity_F, gender_identity_M",82,648,2.9634146341463414
"BMI, gender_identity_F, sexual_attraction_F",125,675,1.728
"BMI, gender_identity_F, sexual_attraction_M",120,678,1.775
"BMI, gender_identity_M, sexual_attraction_F",109,668,2.0458715596330275
"BMI, gender_identity_M, sexual_attraction_M",106,669,2.0943396226415096
"BMI, sexual_attraction_F, sexual_attraction_M",70,649,3.4571428571428573
"background_SES, gender_identity_F, gender_identity_M",40,733,3.95
"background_SES, gender_identity_F, sexual_attraction_F",59,742,2.5254237288135593
"background_SES, gender_identity_F, sexual_attraction_M",58,754,2.3620689655172415
"background_SES, gender_identity_M, sexual_attraction_F",62,740,2.435483870967742
"background_SES, gender_identity_M, sexual_attraction_M",56,742,2.6607142857142856
"background_SES, sexual_attraction_F, sexual_attraction_M",45,731,3.5555555555555554
"gender_identity_F, gender_identity_M, sexual_attraction_F",35,873,0.5142857142857142
"gender_identity_F, gender_identity_M, sexual_attraction_M",30,875,0.5333333333333333
"gender_identity_F, sexual_attraction_F, sexual_attraction_M",35,871,0.5714285714285714
"gender_identity_M, sexual_attraction_F, sexual_attraction_M",31,869,0.7096774193548387
"age, education_level, religious_importance, sex",72,586,4.236111111111111
"age, education_level, religious_importance, handedness",53,600,5.490566037735849
"age, education_level, religious_importance, religious_now",32,595,9.25
"age, education_level, religious_importance, religious_upbringing",55,558,6.054545454545455
"age, education_level, religious_importance, BMI",299,238,2.1839464882943145
"age, education_level, religious_importance, background_SES",185,319,3.091891891891892
"age, education_level, religious_importance, gender_identity_F",124,631,2.096774193548387
"age, education_level, religious_importance, gender_identity_M",126,619,2.1587301587301586
"age, education_level, religious_importance, sexual_attraction_F",131,626,2.0229007633587788
"age, education_level, religious_importance, sexual_attraction_M",133,638,1.9022556390977443
"age, education_level, sex, handedness",14,567,23.142857142857142
"age, education_level, sex, religious_now",11,616,25.0
"age, education_level, sex, religious_upbringing",9,563,36.44444444444444
"age, education_level, sex, BMI",223,276,2.757847533632287
"age, education_level, sex, background_SES",74,348,7.337837837837838
"age, education_level, sex, gender_identity_F",34,605,8.411764705882353
"age, education_level, sex, gender_identity_M",41,593,7.2682926829268295
"age, education_level, sex, sexual_attraction_F",49,602,5.8979591836734695
"age, education_level, sex, sexual_attraction_M",53,612,5.264150943396227
"age, education_level, handedness, religious_now",16,622,16.8125
"age, education_level, handedness, religious_upbringing",13,540,27.0
"age, education_level, handedness, BMI",186,267,3.3548387096774195
"age, education_level, handedness, background_SES",77,337,7.194805194805195
"age, education_level, handedness, gender_identity_F",54,605,5.296296296296297
"age, education_level, handedness, gender_identity_M",58,593,5.137931034482759
"age, education_level, handedness, sexual_attraction_F",53,609,5.320754716981132
"age, education_level, handedness, sexual_attraction_M",54,618,5.055555555555555
"age, education_level, religious_now, religious_upbringing",17,591,17.647058823529413
"age, education_level, religious_now, BMI",225,307,2.5955555555555554
"age, education_level, religious_now, background_SES",86,373,6.023255813953488
"age, education_level, religious_now, gender_identity_F",58,653,4.103448275862069
"age, education_level, religious_now, gender_identity_M",59,641,4.237288135593221
"age, education_level, religious_now, sexual_attraction_F",56,650,4.303571428571429
"age, education_level, religious_now, sexual_attraction_M",64,660,3.609375
"age, education_level, religious_upbringing, BMI",230,251,2.782608695652174
"age, education_level, religious_upbringing, background_SES",78,330,7.1923076923076925
"age, education_level, religious_upbringing, gender_identity_F",59,576,5.338983050847458
"age, education_level, religious_upbringing, gender_identity_M",57,566,5.701754385964913
"age, education_level, religious_upbringing, sexual_attraction_F",64,577,4.90625
"age, education_level, religious_upbringing, sexual_attraction_M",62,583,4.967741935483871
"age, education_level, BMI, background_SES",503,123,1.5268389662027833
"age, education_level, BMI, gender_identity_F",381,262,1.6509186351706038
"age, education_level, BMI, gender_identity_M",374,272,1.6550802139037433
"age, education_level, BMI, sexual_attraction_F",371,279,1.6495956873315365
"age, education_level, BMI, sexual_attraction_M",361,292,1.6592797783933517
"age, education_level, background_SES, gender_identity_F",208,340,2.6490384615384617
"age, education_level, background_SES, gender_identity_M",210,343,2.6095238095238096
"age, education_level, background_SES, sexual_attraction_F",213,355,2.516431924882629
"age, education_level, background_SES, sexual_attraction_M",222,355,2.4144144144144146
"age, education_level, gender_identity_F, gender_identity_M",72,612,3.875
"age, education_level, gender_identity_F, sexual_attraction_F",101,632,2.5643564356435644
"age, education_level, gender_identity_F, sexual_attraction_M",106,645,2.3207547169811322
"age, education_level, gender_identity_M, sexual_attraction_F",91,627,2.901098901098901
"age, education_level, gender_identity_M, sexual_attraction_M",96,637,2.6458333333333335
"age, education_level, sexual_attraction_F, sexual_attraction_M",67,601,4.3283582089552235
"age, religious_importance, sex, handedness",31,652,7.709677419354839
"age, religious_importance, sex, religious_now",14,670,15.785714285714286
"age, religious_importance, sex, religious_upbringing",29,642,8.586206896551724
"age, religious_importance, sex, BMI",239,311,2.426778242677824
"age, religious_importance, sex, background_SES",156,403,3.128205128205128
"age, religious_importance, sex, gender_identity_F",74,693,2.675675675675676
"age, religious_importance, sex, gender_identity_M",85,689,2.376470588235294
"age, religious_importance, sex, sexual_attraction_F",87,694,2.264367816091954
"age, religious_importance, sex, sexual_attraction_M",91,696,2.142857142857143
"age, religious_importance, handedness, religious_now",15,691,13.333333333333334
"age, religious_importance, handedness, religious_upbringing",31,647,7.870967741935484
"age, religious_importance, handedness, BMI",211,298,2.81042654028436
"age, religious_importance, handedness, background_SES",136,390,3.6838235294117645
"age, religious_importance, handedness, gender_identity_F",76,709,2.3947368421052633
"age, religious_importance, handedness, gender_identity_M",79,704,2.367088607594937
"age, religious_importance, handedness, sexual_attraction_F",77,714,2.2987012987012987
"age, religious_importance, handedness, sexual_attraction_M",82,716,2.1341463414634148
"age, religious_importance, religious_now, religious_upbringing",13,631,20.0
"age, religious_importance, religious_now, BMI",179,289,3.363128491620112
"age, religious_importance, religious_now, background_SES",100,394,4.97
"age, religious_importance, religious_now, gender_identity_F",52,711,3.4615384615384617
"age, religious_importance, religious_now, gender_identity_M",62,709,2.935483870967742
"age, religious_importance, religious_now, sexual_attraction_F",54,716,3.240740740740741
"age, religious_importance, religious_now, sexual_attraction_M",57,718,3.0350877192982457
"age, religious_importance, religious_upbringing, BMI",231,267,2.7012987012987013
"age, religious_importance, religious_upbringing, background_SES",141,378,3.6382978723404253
"age, religious_importance, religious_upbringing, gender_identity_F",84,679,2.5238095238095237
"age, religious_importance, religious_upbringing, gender_identity_M",85,679,2.4941176470588236
"age, religious_importance, religious_upbringing, sexual_attraction_F",89,682,2.348314606741573
"age, religious_importance, religious_upbringing, sexual_attraction_M",92,682,2.2717391304347827
"age, religious_importance, BMI, background_SES",466,150,1.590128755364807
"age, religious_importance, BMI, gender_identity_F",359,307,1.626740947075209
"age, religious_importance, BMI, gender_identity_M",361,319,1.5844875346260388
"age, religious_importance, BMI, sexual_attraction_F",354,331,1.5819209039548023
"age, religious_importance, BMI, sexual_attraction_M",355,336,1.5633802816901408
"age, religious_importance, background_SES, gender_identity_F",236,409,2.042372881355932
"age, religious_importance, background_SES, gender_identity_M",232,422,2.021551724137931
"age, religious_importance, background_SES, sexual_attraction_F",246,431,1.8699186991869918
"age, religious_importance, background_SES, sexual_attraction_M",252,428,1.8373015873015872
"age, religious_importance, gender_identity_F, gender_identity_M",91,715,1.934065934065934
"age, religious_importance, gender_identity_F, sexual_attraction_F",118,730,1.3644067796610169
"age, religious_importance, gender_identity_F, sexual_attraction_M",115,738,1.3304347826086957
"age, religious_importance, gender_identity_M, sexual_attraction_F",115,732,1.382608695652174
"age, religious_importance, gender_identity_M, sexual_attraction_M",115,734,1.3652173913043477
"age, religious_importance, sexual_attraction_F, sexual_attraction_M",82,713,2.1707317073170733
"age, sex, handedness, religious_now",9,669,24.666666666666668
"age, sex, handedness, religious_upbringing",7,610,40.142857142857146
"age, sex, handedness, BMI",125,334,4.456
"age, sex, handedness, background_SES",55,413,8.690909090909091
"age, sex, handedness, gender_identity_F",24,656,9.791666666666666
"age, sex, handedness, gender_identity_M",29,651,8.275862068965518
"age, sex, handedness, sexual_attraction_F",27,663,8.444444444444445
"age, sex, handedness, sexual_attraction_M",33,663,6.909090909090909
"age, sex, religious_now, religious_upbringing",5,668,44.6
"age, sex, religious_now, BMI",152,372,3.414473684210526
"age, sex, religious_now, background_SES",47,459,9.191489361702128
"age, sex, religious_now, gender_identity_F",25,710,7.24
"age, sex, religious_now, gender_identity_M",31,706,5.967741935483871
"age, sex, religious_now, sexual_attraction_F",30,713,5.933333333333334
"age, sex, religious_now, sexual_attraction_M",39,713,4.564102564102564
"age, sex, religious_upbringing, BMI",155,321,3.6774193548387095
"age, sex, religious_upbringing, background_SES",34,409,14.176470588235293
"age, sex, religious_upbringing, gender_identity_F",19,657,12.31578947368421
"age, sex, religious_upbringing, gender_identity_M",26,657,9.0
"age, sex, religious_upbringing, sexual_attraction_F",34,662,6.735294117647059
"age, sex, religious_upbringing, sexual_attraction_M",40,660,5.775
"age, sex, BMI, background_SES",471,176,1.5180467091295118
"age, sex, BMI, gender_identity_F",249,332,2.244979919678715
"age, sex, BMI, gender_identity_M",247,345,2.210526315789474
"age, sex, BMI, sexual_attraction_F",264,354,2.034090909090909
"age, sex, BMI, sexual_attraction_M",259,361,2.0463320463320462
"age, sex, background_SES, gender_identity_F",99,426,4.696969696969697
"age, sex, background_SES, gender_identity_M",103,435,4.427184466019417
"age, sex, background_SES, sexual_attraction_F",138,443,3.246376811594203
"age, sex, background_SES, sexual_attraction_M",135,441,3.3333333333333335
"age, sex, gender_identity_F, gender_identity_M",39,674,5.564102564102564
"age, sex, gender_identity_F, sexual_attraction_F",55,698,3.5090909090909093
"age, sex, gender_identity_F, sexual_attraction_M",61,704,3.0655737704918034
"age, sex, gender_identity_M, sexual_attraction_F",52,700,3.673076923076923
"age, sex, gender_identity_M, sexual_attraction_M",61,700,3.1311475409836067
"age, sex, sexual_attraction_F, sexual_attraction_M",46,683,4.521739130434782
"age, handedness, religious_now, religious_upbringing",9,669,24.666666666666668
"age, handedness, religious_now, BMI",119,364,4.428571428571429
"age, handedness, religious_now, background_SES",46,449,9.608695652173912
"age, handedness, religious_now, gender_identity_F",39,722,4.333333333333333
"age, handedness, religious_now, gender_identity_M",37,717,4.702702702702703
"age, handedness, religious_now, sexual_attraction_F",33,729,4.909090909090909
"age, handedness, religious_now, sexual_attraction_M",40,729,4.05
"age, handedness, religious_upbringing, BMI",115,313,5.026086956521739
"age, handedness, religious_upbringing, background_SES",46,398,10.717391304347826
"age, handedness, religious_upbringing, gender_identity_F",36,655,6.555555555555555
"age, handedness, religious_upbringing, gender_identity_M",36,653,6.611111111111111
"age, handedness, religious_upbringing, sexual_attraction_F",39,663,5.846153846153846
"age, handedness, religious_upbringing, sexual_attraction_M",43,661,5.348837209302325
"age, handedness, BMI, background_SES",396,165,1.8333333333333333
"age, handedness, BMI, gender_identity_F",257,320,2.2217898832684826
"age, handedness, BMI, gender_identity_M",250,331,2.24
"age, handedness, BMI, sexual_attraction_F",253,342,2.1699604743083003
"age, handedness, BMI, sexual_attraction_M",250,349,2.168
"age, handedness, background_SES, gender_identity_F",136,413,3.514705882352941
"age, handedness, background_SES, gender_identity_M",140,423,3.342857142857143
"age, handedness, background_SES, sexual_attraction_F",150,431,3.066666666666667
"age, handedness, background_SES, sexual_attraction_M",144,431,3.1944444444444446
"age, handedness, gender_identity_F, gender_identity_M",51,688,3.980392156862745
"age, handedness, gender_identity_F, sexual_attraction_F",69,710,2.6231884057971016
"age, handedness, gender_identity_F, sexual_attraction_M",77,714,2.2987012987012987
"age, handedness, gender_identity_M, sexual_attraction_F",70,711,2.5714285714285716
"age, handedness, gender_identity_M, sexual_attraction_M",78,711,2.3076923076923075
"age, handedness, sexual_attraction_F, sexual_attraction_M",39,691,5.128205128205129
"age, religious_now, religious_upbringing, BMI",152,348,3.5723684210526314
"age, religious_now, religious_upbringing, background_SES",53,449,8.339622641509434
"age, religious_now, religious_upbringing, gender_identity_F",44,701,4.318181818181818
"age, religious_now, religious_upbringing, gender_identity_M",43,701,4.4186046511627906
