,Combination,SUDA_Sum
108,"LANGUAGE, GENDER, WORK_NIH_CAMPUS",171
109,"RACE_1, MARITAL_STATUS, EDUCATION",56
110,"RACE_1, MARITAL_STATUS, EMPLOYMENT",48
111,"RACE_1, MARITAL_STATUS, LGBT_IDENTITY",43
112,"RACE_1, MARITAL_STATUS, ETHNICITY_1",35
113,"RACE_1, MARITAL_STATUS, GENDER",22
114,"RACE_1, MARITAL_STATUS, WORK_NIH_CAMPUS",26
115,"RACE_1, EDUCATION, EMPLOYMENT",49
116,"RACE_1, EDUCATION, LGBT_IDENTITY",42
117,"RACE_1, EDUCATION, ETHNICITY_1",35
118,"RACE_1, EDUCATION, GENDER",27
119,"RACE_1, EDUCATION, WORK_NIH_CAMPUS",23
120,"RACE_1, EMPLOYMENT, LGBT_IDENTITY",44
121,"RACE_1, EMPLOYMENT, ETHNICITY_1",38
122,"RACE_1, EMPLOYMENT, GENDER",27
123,"RACE_1, EMPLOYMENT, WORK_NIH_CAMPUS",21
124,"RACE_1, LGBT_IDENTITY, ETHNICITY_1",24
125,"RACE_1, LGBT_IDENTITY, GENDER",20
126,"RACE_1, LGBT_IDENTITY, WORK_NIH_CAMPUS",21
127,"RACE_1, ETHNICITY_1, GENDER",14
128,"RACE_1, ETHNICITY_1, WORK_NIH_CAMPUS",15
129,"RACE_1, GENDER, WORK_NIH_CAMPUS",9
130,"MARITAL_STATUS, EDUCATION, EMPLOYMENT",49
131,"MARITAL_STATUS, EDUCATION, LGBT_IDENTITY",46
132,"MARITAL_STATUS, EDUCATION, ETHNICITY_1",36
133,"MARITAL_STATUS, EDUCATION, GENDER",31
134,"MARITAL_STATUS, EDUCATION, WORK_NIH_CAMPUS",24
135,"MARITAL_STATUS, EMPLOYMENT, LGBT_IDENTITY",45
136,"MARITAL_STATUS, EMPLOYMENT, ETHNICITY_1",30
137,"MARITAL_STATUS, EMPLOYMENT, GENDER",28
138,"MARITAL_STATUS, EMPLOYMENT, WORK_NIH_CAMPUS",24
139,"MARITAL_STATUS, LGBT_IDENTITY, ETHNICITY_1",24
140,"MARITAL_STATUS, LGBT_IDENTITY, GENDER",19
141,"MARITAL_STATUS, LGBT_IDENTITY, WORK_NIH_CAMPUS",25
142,"MARITAL_STATUS, ETHNICITY_1, GENDER",13
143,"MARITAL_STATUS, ETHNICITY_1, WORK_NIH_CAMPUS",17
144,"MARITAL_STATUS, GENDER, WORK_NIH_CAMPUS",6
145,"EDUCATION, EMPLOYMENT, LGBT_IDENTITY",34
146,"EDUCATION, EMPLOYMENT, ETHNICITY_1",33
147,"EDUCATION, EMPLOYMENT, GENDER",24
148,"EDUCATION, EMPLOYMENT, WORK_NIH_CAMPUS",8
149,"EDUCATION, LGBT_IDENTITY, ETHNICITY_1",22
150,"EDUCATION, LGBT_IDENTITY, GENDER",18
151,"EDUCATION, LGBT_IDENTITY, WORK_NIH_CAMPUS",14
152,"EDUCATION, ETHNICITY_1, GENDER",19
153,"EDUCATION, ETHNICITY_1, WORK_NIH_CAMPUS",11
154,"EDUCATION, GENDER, WORK_NIH_CAMPUS",6
155,"EMPLOYMENT, LGBT_IDENTITY, ETHNICITY_1",24
156,"EMPLOYMENT, LGBT_IDENTITY, GENDER",14
157,"EMPLOYMENT, LGBT_IDENTITY, WORK_NIH_CAMPUS",9
158,"EMPLOYMENT, ETHNICITY_1, GENDER",18
159,"EMPLOYMENT, ETHNICITY_1, WORK_NIH_CAMPUS",19
160,"EMPLOYMENT, GENDER, WORK_NIH_CAMPUS",9
161,"LGBT_IDENTITY, ETHNICITY_1, GENDER",4
162,"LGBT_IDENTITY, ETHNICITY_1, WORK_NIH_CAMPUS",12
163,"LGBT_IDENTITY, GENDER, WORK_NIH_CAMPUS",2
164,"ETHNICITY_1, GENDER, WORK_NIH_CAMPUS",5
165,"AGE, INCOME, LANGUAGE, RACE_1",2716
166,"AGE, INCOME, LANGUAGE, MARITAL_STATUS",2659
167,"AGE, INCOME, LANGUAGE, EDUCATION",2766
168,"AGE, INCOME, LANGUAGE, EMPLOYMENT",2696
169,"AGE, INCOME, LANGUAGE, LGBT_IDENTITY",2558
170,"AGE, INCOME, LANGUAGE, ETHNICITY_1",2319
171,"AGE, INCOME, LANGUAGE, GENDER",2444
172,"AGE, INCOME, LANGUAGE, WORK_NIH_CAMPUS",2521
173,"AGE, INCOME, RACE_1, MARITAL_STATUS",2140
174,"AGE, INCOME, RACE_1, EDUCATION",2252
175,"AGE, INCOME, RACE_1, EMPLOYMENT",2204
176,"AGE, INCOME, RACE_1, LGBT_IDENTITY",2050
177,"AGE, INCOME, RACE_1, ETHNICITY_1",1797
178,"AGE, INCOME, RACE_1, GENDER",1908
179,"AGE, INCOME, RACE_1, WORK_NIH_CAMPUS",2031
180,"AGE, INCOME, MARITAL_STATUS, EDUCATION",2181
181,"AGE, INCOME, MARITAL_STATUS, EMPLOYMENT",2121
182,"AGE, INCOME, MARITAL_STATUS, LGBT_IDENTITY",1978
183,"AGE, INCOME, MARITAL_STATUS, ETHNICITY_1",1775
184,"AGE, INCOME, MARITAL_STATUS, GENDER",1861
185,"AGE, INCOME, MARITAL_STATUS, WORK_NIH_CAMPUS",1929
186,"AGE, INCOME, EDUCATION, EMPLOYMENT",2224
187,"AGE, INCOME, EDUCATION, LGBT_IDENTITY",2091
188,"AGE, INCOME, EDUCATION, ETHNICITY_1",1869
189,"AGE, INCOME, EDUCATION, GENDER",1974
190,"AGE, INCOME, EDUCATION, WORK_NIH_CAMPUS",2016
191,"AGE, INCOME, EMPLOYMENT, LGBT_IDENTITY",2032
192,"AGE, INCOME, EMPLOYMENT, ETHNICITY_1",1801
193,"AGE, INCOME, EMPLOYMENT, GENDER",1901
194,"AGE, INCOME, EMPLOYMENT, WORK_NIH_CAMPUS",1966
195,"AGE, INCOME, LGBT_IDENTITY, ETHNICITY_1",1687
196,"AGE, INCOME, LGBT_IDENTITY, GENDER",1783
197,"AGE, INCOME, LGBT_IDENTITY, WORK_NIH_CAMPUS",1847
198,"AGE, INCOME, ETHNICITY_1, GENDER",1550
199,"AGE, INCOME, ETHNICITY_1, WORK_NIH_CAMPUS",1614
200,"AGE, INCOME, GENDER, WORK_NIH_CAMPUS",1721
201,"AGE, LANGUAGE, RACE_1, MARITAL_STATUS",1925
202,"AGE, LANGUAGE, RACE_1, EDUCATION",2025
203,"AGE, LANGUAGE, RACE_1, EMPLOYMENT",1939
204,"AGE, LANGUAGE, RACE_1, LGBT_IDENTITY",1811
205,"AGE, LANGUAGE, RACE_1, ETHNICITY_1",1610
206,"AGE, LANGUAGE, RACE_1, GENDER",1655
207,"AGE, LANGUAGE, RACE_1, WORK_NIH_CAMPUS",1791
208,"AGE, LANGUAGE, MARITAL_STATUS, EDUCATION",1987
209,"AGE, LANGUAGE, MARITAL_STATUS, EMPLOYMENT",1900
210,"AGE, LANGUAGE, MARITAL_STATUS, LGBT_IDENTITY",1807
211,"AGE, LANGUAGE, MARITAL_STATUS, ETHNICITY_1",1622
212,"AGE, LANGUAGE, MARITAL_STATUS, GENDER",1651
213,"AGE, LANGUAGE, MARITAL_STATUS, WORK_NIH_CAMPUS",1728
214,"AGE, LANGUAGE, EDUCATION, EMPLOYMENT",2021
215,"AGE, LANGUAGE, EDUCATION, LGBT_IDENTITY",1912
216,"AGE, LANGUAGE, EDUCATION, ETHNICITY_1",1712
217,"AGE, LANGUAGE, EDUCATION, GENDER",1764
218,"AGE, LANGUAGE, EDUCATION, WORK_NIH_CAMPUS",1800
219,"AGE, LANGUAGE, EMPLOYMENT, LGBT_IDENTITY",1780
220,"AGE, LANGUAGE, EMPLOYMENT, ETHNICITY_1",1608
221,"AGE, LANGUAGE, EMPLOYMENT, GENDER",1653
222,"AGE, LANGUAGE, EMPLOYMENT, WORK_NIH_CAMPUS",1745
223,"AGE, LANGUAGE, LGBT_IDENTITY, ETHNICITY_1",1527
224,"AGE, LANGUAGE, LGBT_IDENTITY, GENDER",1579
225,"AGE, LANGUAGE, LGBT_IDENTITY, WORK_NIH_CAMPUS",1656
226,"AGE, LANGUAGE, ETHNICITY_1, GENDER",1363
227,"AGE, LANGUAGE, ETHNICITY_1, WORK_NIH_CAMPUS",1458
228,"AGE, LANGUAGE, GENDER, WORK_NIH_CAMPUS",1455
229,"AGE, RACE_1, MARITAL_STATUS, EDUCATION",1401
230,"AGE, RACE_1, MARITAL_STATUS, EMPLOYMENT",1329
231,"AGE, RACE_1, MARITAL_STATUS, LGBT_IDENTITY",1199
232,"AGE, RACE_1, MARITAL_STATUS, ETHNICITY_1",1006
233,"AGE, RACE_1, MARITAL_STATUS, GENDER",1022
234,"AGE, RACE_1, MARITAL_STATUS, WORK_NIH_CAMPUS",1129
235,"AGE, RACE_1, EDUCATION, EMPLOYMENT",1441
236,"AGE, RACE_1, EDUCATION, LGBT_IDENTITY",1316
237,"AGE, RACE_1, EDUCATION, ETHNICITY_1",1107
238,"AGE, RACE_1, EDUCATION, GENDER",1162
239,"AGE, RACE_1, EDUCATION, WORK_NIH_CAMPUS",1231
240,"AGE, RACE_1, EMPLOYMENT, LGBT_IDENTITY",1212
241,"AGE, RACE_1, EMPLOYMENT, ETHNICITY_1",1006
242,"AGE, RACE_1, EMPLOYMENT, GENDER",1055
243,"AGE, RACE_1, EMPLOYMENT, WORK_NIH_CAMPUS",1172
244,"AGE, RACE_1, LGBT_IDENTITY, ETHNICITY_1",911
245,"AGE, RACE_1, LGBT_IDENTITY, GENDER",962
246,"AGE, RACE_1, LGBT_IDENTITY, WORK_NIH_CAMPUS",1063
247,"AGE, RACE_1, ETHNICITY_1, GENDER",740
248,"AGE, RACE_1, ETHNICITY_1, WORK_NIH_CAMPUS",852
249,"AGE, RACE_1, GENDER, WORK_NIH_CAMPUS",888
250,"AGE, MARITAL_STATUS, EDUCATION, EMPLOYMENT",1383
251,"AGE, MARITAL_STATUS, EDUCATION, LGBT_IDENTITY",1292
252,"AGE, MARITAL_STATUS, EDUCATION, ETHNICITY_1",1090
253,"AGE, MARITAL_STATUS, EDUCATION, GENDER",1109
254,"AGE, MARITAL_STATUS, EDUCATION, WORK_NIH_CAMPUS",1142
255,"AGE, MARITAL_STATUS, EMPLOYMENT, LGBT_IDENTITY",1202
256,"AGE, MARITAL_STATUS, EMPLOYMENT, ETHNICITY_1",1008
257,"AGE, MARITAL_STATUS, EMPLOYMENT, GENDER",1015
258,"AGE, MARITAL_STATUS, EMPLOYMENT, WORK_NIH_CAMPUS",1092
259,"AGE, MARITAL_STATUS, LGBT_IDENTITY, ETHNICITY_1",931
260,"AGE, MARITAL_STATUS, LGBT_IDENTITY, GENDER",929
261,"AGE, MARITAL_STATUS, LGBT_IDENTITY, WORK_NIH_CAMPUS",993
262,"AGE, MARITAL_STATUS, ETHNICITY_1, GENDER",739
263,"AGE, MARITAL_STATUS, ETHNICITY_1, WORK_NIH_CAMPUS",829
264,"AGE, MARITAL_STATUS, GENDER, WORK_NIH_CAMPUS",792
265,"AGE, EDUCATION, EMPLOYMENT, LGBT_IDENTITY",1314
266,"AGE, EDUCATION, EMPLOYMENT, ETHNICITY_1",1117
267,"AGE, EDUCATION, EMPLOYMENT, GENDER",1150
268,"AGE, EDUCATION, EMPLOYMENT, WORK_NIH_CAMPUS",1203
269,"AGE, EDUCATION, LGBT_IDENTITY, ETHNICITY_1",1025
270,"AGE, EDUCATION, LGBT_IDENTITY, GENDER",1076
271,"AGE, EDUCATION, LGBT_IDENTITY, WORK_NIH_CAMPUS",1096
272,"AGE, EDUCATION, ETHNICITY_1, GENDER",843
273,"AGE, EDUCATION, ETHNICITY_1, WORK_NIH_CAMPUS",886
274,"AGE, EDUCATION, GENDER, WORK_NIH_CAMPUS",902
275,"AGE, EMPLOYMENT, LGBT_IDENTITY, ETHNICITY_1",911
276,"AGE, EMPLOYMENT, LGBT_IDENTITY, GENDER",936
277,"AGE, EMPLOYMENT, LGBT_IDENTITY, WORK_NIH_CAMPUS",1005
278,"AGE, EMPLOYMENT, ETHNICITY_1, GENDER",744
279,"AGE, EMPLOYMENT, ETHNICITY_1, WORK_NIH_CAMPUS",833
280,"AGE, EMPLOYMENT, GENDER, WORK_NIH_CAMPUS",852
281,"AGE, LGBT_IDENTITY, ETHNICITY_1, GENDER",691
282,"AGE, LGBT_IDENTITY, ETHNICITY_1, WORK_NIH_CAMPUS",759
283,"AGE, LGBT_IDENTITY, GENDER, WORK_NIH_CAMPUS",747
284,"AGE, ETHNICITY_1, GENDER, WORK_NIH_CAMPUS",554
285,"INCOME, LANGUAGE, RACE_1, MARITAL_STATUS",975
286,"INCOME, LANGUAGE, RACE_1, EDUCATION",1014
287,"INCOME, LANGUAGE, RACE_1, EMPLOYMENT",1011
288,"INCOME, LANGUAGE, RACE_1, LGBT_IDENTITY",963
289,"INCOME, LANGUAGE, RACE_1, ETHNICITY_1",857
290,"INCOME, LANGUAGE, RACE_1, GENDER",840
291,"INCOME, LANGUAGE, RACE_1, WORK_NIH_CAMPUS",886
292,"INCOME, LANGUAGE, MARITAL_STATUS, EDUCATION",1010
293,"INCOME, LANGUAGE, MARITAL_STATUS, EMPLOYMENT",997
294,"INCOME, LANGUAGE, MARITAL_STATUS, LGBT_IDENTITY",934
295,"INCOME, LANGUAGE, MARITAL_STATUS, ETHNICITY_1",861
296,"INCOME, LANGUAGE, MARITAL_STATUS, GENDER",865
297,"INCOME, LANGUAGE, MARITAL_STATUS, WORK_NIH_CAMPUS",860
298,"INCOME, LANGUAGE, EDUCATION, EMPLOYMENT",1045
299,"INCOME, LANGUAGE, EDUCATION, LGBT_IDENTITY",960
300,"INCOME, LANGUAGE, EDUCATION, ETHNICITY_1",890
301,"INCOME, LANGUAGE, EDUCATION, GENDER",883
302,"INCOME, LANGUAGE, EDUCATION, WORK_NIH_CAMPUS",894
303,"INCOME, LANGUAGE, EMPLOYMENT, LGBT_IDENTITY",957
304,"INCOME, LANGUAGE, EMPLOYMENT, ETHNICITY_1",882
305,"INCOME, LANGUAGE, EMPLOYMENT, GENDER",869
306,"INCOME, LANGUAGE, EMPLOYMENT, WORK_NIH_CAMPUS",873
307,"INCOME, LANGUAGE, LGBT_IDENTITY, ETHNICITY_1",838
308,"INCOME, LANGUAGE, LGBT_IDENTITY, GENDER",820
309,"INCOME, LANGUAGE, LGBT_IDENTITY, WORK_NIH_CAMPUS",844
310,"INCOME, LANGUAGE, ETHNICITY_1, GENDER",748
311,"INCOME, LANGUAGE, ETHNICITY_1, WORK_NIH_CAMPUS",782
312,"INCOME, LANGUAGE, GENDER, WORK_NIH_CAMPUS",748
313,"INCOME, RACE_1, MARITAL_STATUS, EDUCATION",441
314,"INCOME, RACE_1, MARITAL_STATUS, EMPLOYMENT",414
315,"INCOME, RACE_1, MARITAL_STATUS, LGBT_IDENTITY",363
316,"INCOME, RACE_1, MARITAL_STATUS, ETHNICITY_1",289
317,"INCOME, RACE_1, MARITAL_STATUS, GENDER",264
318,"INCOME, RACE_1, MARITAL_STATUS, WORK_NIH_CAMPUS",300
319,"INCOME, RACE_1, EDUCATION, EMPLOYMENT",468
320,"INCOME, RACE_1, EDUCATION, LGBT_IDENTITY",397
321,"INCOME, RACE_1, EDUCATION, ETHNICITY_1",318
322,"INCOME, RACE_1, EDUCATION, GENDER",291
323,"INCOME, RACE_1, EDUCATION, WORK_NIH_CAMPUS",323
324,"INCOME, RACE_1, EMPLOYMENT, LGBT_IDENTITY",413
325,"INCOME, RACE_1, EMPLOYMENT, ETHNICITY_1",314
326,"INCOME, RACE_1, EMPLOYMENT, GENDER",283
327,"INCOME, RACE_1, EMPLOYMENT, WORK_NIH_CAMPUS",311
328,"INCOME, RACE_1, LGBT_IDENTITY, ETHNICITY_1",298
329,"INCOME, RACE_1, LGBT_IDENTITY, GENDER",267
330,"INCOME, RACE_1, LGBT_IDENTITY, WORK_NIH_CAMPUS",293
331,"INCOME, RACE_1, ETHNICITY_1, GENDER",185
332,"INCOME, RACE_1, ETHNICITY_1, WORK_NIH_CAMPUS",233
333,"INCOME, RACE_1, GENDER, WORK_NIH_CAMPUS",176
334,"INCOME, MARITAL_STATUS, EDUCATION, EMPLOYMENT",456
335,"INCOME, MARITAL_STATUS, EDUCATION, LGBT_IDENTITY",391
336,"INCOME, MARITAL_STATUS, EDUCATION, ETHNICITY_1",338
337,"INCOME, MARITAL_STATUS, EDUCATION, GENDER",316
338,"INCOME, MARITAL_STATUS, EDUCATION, WORK_NIH_CAMPUS",329
339,"INCOME, MARITAL_STATUS, EMPLOYMENT, LGBT_IDENTITY",371
340,"INCOME, MARITAL_STATUS, EMPLOYMENT, ETHNICITY_1",303
341,"INCOME, MARITAL_STATUS, EMPLOYMENT, GENDER",290
342,"INCOME, MARITAL_STATUS, EMPLOYMENT, WORK_NIH_CAMPUS",289
343,"INCOME, MARITAL_STATUS, LGBT_IDENTITY, ETHNICITY_1",273
344,"INCOME, MARITAL_STATUS, LGBT_IDENTITY, GENDER",252
345,"INCOME, MARITAL_STATUS, LGBT_IDENTITY, WORK_NIH_CAMPUS",261
346,"INCOME, MARITAL_STATUS, ETHNICITY_1, GENDER",206
347,"INCOME, MARITAL_STATUS, ETHNICITY_1, WORK_NIH_CAMPUS",201
348,"INCOME, MARITAL_STATUS, GENDER, WORK_NIH_CAMPUS",175
349,"INCOME, EDUCATION, EMPLOYMENT, LGBT_IDENTITY",392
350,"INCOME, EDUCATION, EMPLOYMENT, ETHNICITY_1",346
351,"INCOME, EDUCATION, EMPLOYMENT, GENDER",301
352,"INCOME, EDUCATION, EMPLOYMENT, WORK_NIH_CAMPUS",312
353,"INCOME, EDUCATION, LGBT_IDENTITY, ETHNICITY_1",297
354,"INCOME, EDUCATION, LGBT_IDENTITY, GENDER",247
355,"INCOME, EDUCATION, LGBT_IDENTITY, WORK_NIH_CAMPUS",270
356,"INCOME, EDUCATION, ETHNICITY_1, GENDER",221
357,"INCOME, EDUCATION, ETHNICITY_1, WORK_NIH_CAMPUS",228
358,"INCOME, EDUCATION, GENDER, WORK_NIH_CAMPUS",175
359,"INCOME, EMPLOYMENT, LGBT_IDENTITY, ETHNICITY_1",302
360,"INCOME, EMPLOYMENT, LGBT_IDENTITY, GENDER",256
361,"INCOME, EMPLOYMENT, LGBT_IDENTITY, WORK_NIH_CAMPUS",253
362,"INCOME, EMPLOYMENT, ETHNICITY_1, GENDER",197
363,"INCOME, EMPLOYMENT, ETHNICITY_1, WORK_NIH_CAMPUS",197
364,"INCOME, EMPLOYMENT, GENDER, WORK_NIH_CAMPUS",168
365,"INCOME, LGBT_IDENTITY, ETHNICITY_1, GENDER",194
366,"INCOME, LGBT_IDENTITY, ETHNICITY_1, WORK_NIH_CAMPUS",217
367,"INCOME, LGBT_IDENTITY, GENDER, WORK_NIH_CAMPUS",155
368,"INCOME, ETHNICITY_1, GENDER, WORK_NIH_CAMPUS",118
369,"LANGUAGE, RACE_1, MARITAL_STATUS, EDUCATION",822
370,"LANGUAGE, RACE_1, MARITAL_STATUS, EMPLOYMENT",826
371,"LANGUAGE, RACE_1, MARITAL_STATUS, LGBT_IDENTITY",792
372,"LANGUAGE, RACE_1, MARITAL_STATUS, ETHNICITY_1",734
373,"LANGUAGE, RACE_1, MARITAL_STATUS, GENDER",702
374,"LANGUAGE, RACE_1, MARITAL_STATUS, WORK_NIH_CAMPUS",727
375,"LANGUAGE, RACE_1, EDUCATION, EMPLOYMENT",831
376,"LANGUAGE, RACE_1, EDUCATION, LGBT_IDENTITY",790
377,"LANGUAGE, RACE_1, EDUCATION, ETHNICITY_1",725
378,"LANGUAGE, RACE_1, EDUCATION, GENDER",719
379,"LANGUAGE, RACE_1, EDUCATION, WORK_NIH_CAMPUS",741
380,"LANGUAGE, RACE_1, EMPLOYMENT, LGBT_IDENTITY",782
381,"LANGUAGE, RACE_1, EMPLOYMENT, ETHNICITY_1",738
382,"LANGUAGE, RACE_1, EMPLOYMENT, GENDER",712
383,"LANGUAGE, RACE_1, EMPLOYMENT, WORK_NIH_CAMPUS",735
384,"LANGUAGE, RACE_1, LGBT_IDENTITY, ETHNICITY_1",698
385,"LANGUAGE, RACE_1, LGBT_IDENTITY, GENDER",689
386,"LANGUAGE, RACE_1, LGBT_IDENTITY, WORK_NIH_CAMPUS",715
387,"LANGUAGE, RACE_1, ETHNICITY_1, GENDER",635
388,"LANGUAGE, RACE_1, ETHNICITY_1, WORK_NIH_CAMPUS",662
389,"LANGUAGE, RACE_1, GENDER, WORK_NIH_CAMPUS",638
390,"LANGUAGE, MARITAL_STATUS, EDUCATION, EMPLOYMENT",850
391,"LANGUAGE, MARITAL_STATUS, EDUCATION, LGBT_IDENTITY",800
392,"LANGUAGE, MARITAL_STATUS, EDUCATION, ETHNICITY_1",749
393,"LANGUAGE, MARITAL_STATUS, EDUCATION, GENDER",737
394,"LANGUAGE, MARITAL_STATUS, EDUCATION, WORK_NIH_CAMPUS",740
395,"LANGUAGE, MARITAL_STATUS, EMPLOYMENT, LGBT_IDENTITY",803
396,"LANGUAGE, MARITAL_STATUS, EMPLOYMENT, ETHNICITY_1",766
397,"LANGUAGE, MARITAL_STATUS, EMPLOYMENT, GENDER",738
398,"LANGUAGE, MARITAL_STATUS, EMPLOYMENT, WORK_NIH_CAMPUS",742
399,"LANGUAGE, MARITAL_STATUS, LGBT_IDENTITY, ETHNICITY_1",715
400,"LANGUAGE, MARITAL_STATUS, LGBT_IDENTITY, GENDER",704
401,"LANGUAGE, MARITAL_STATUS, LGBT_IDENTITY, WORK_NIH_CAMPUS",726
402,"LANGUAGE, MARITAL_STATUS, ETHNICITY_1, GENDER",660
